ell,Cl
0,1.8659487780253176e-05
1,0.004779728690206575
2,481.5236460675893
3,753.3514425200839
4,298.23227403660735
5,255.66467130736135
6,41.09712621798791
7,113.62724820909246
8,80.78040608313249
9,48.16196283748026
10,36.19477279168202
11,33.782431778956905
12,28.522027436778377
13,32.28897860236026
14,28.756876825482625
15,40.36650340204614
16,15.887282758397264
17,19.174113204610578
18,15.991609414093597
19,16.54808491294975
20,11.120638839653488
21,9.88588412143274
22,12.505298596205467
23,13.373586482238593
24,10.35247333460935
25,10.778266074875788
26,8.554739900885219
27,9.7353982576419
28,7.169046049639886
29,7.881883317137741
30,6.510212957867273
31,5.666982666067364
32,6.813026141731689
33,7.307378969203581
34,6.329335836083163
35,5.743354963750711
36,5.747051981051
37,5.657577870963355
38,5.063931337177127
39,4.074940234550026
40,5.012003282938388
41,4.269098697175002
42,3.4902463482264485
43,4.5418957909193285
44,5.243002565693849
45,4.589398049158996
46,4.379998344744748
47,3.8767151720079083
48,4.693005541898697
49,3.468009242235574
50,2.588353953667392
51,3.821434689343119
52,3.6889628990145873
53,3.2810634132179155
54,2.8998199217651552
55,3.0431698696602134
56,3.1865490898094
57,3.3684513933248788
58,3.4789782283791197
59,2.5550081663992747
60,2.2163418984105236
61,3.1917733833780013
62,2.7580247005219363
63,2.5991797780071795
64,2.8985737178824094
65,2.5947619784378095
66,2.74910616741079
67,2.187100610618916
68,2.6892440926309362
69,3.0749403864458302
70,2.2531167415904747
71,2.5877995550050406
72,2.9406662221030544
73,2.500572804577862
74,2.8273597785016453
75,2.4053193186657493
76,2.204880940186121
77,2.1011921134650384
78,2.7348517326444868
79,2.475009166068787
80,2.0127347228933496
81,1.9368433603522717
82,2.5480654890285592
83,2.102180289718603
84,1.949265680141125
85,2.281525416011342
86,1.8878849286587611
87,2.3075279906460127
88,2.255644971281081
89,1.8410691160214847
90,1.8860126176217362
91,1.9183425948063022
92,1.9397296350410111
93,1.8475243784794935
94,1.8689968235529892
95,1.931915000067106
96,1.9745863247118205
97,1.6045389495661433
98,1.6493991754928075
99,1.6288585078287416
100,1.7370129760368997
101,1.8878584679670047
102,1.7207081606844121
103,1.77561713418111
104,1.866675131391364
105,1.5632085819146115
106,1.5628682745703544
107,1.7317596474567096
108,1.6652446226616813
109,1.4194697993987269
110,1.6649852469373094
111,1.2930689288621324
112,1.6360482640457403
113,1.6538553628191561
114,1.4588254264496205
115,1.673382280482221
116,1.6635535490558995
117,1.61662842809722
118,1.3372884777947631
119,1.5680813477626698
120,1.5479074741415233
121,1.3896020546466235
122,1.3015763793589326
123,1.4463239815528943
124,1.5332014507762037
125,1.4269664427700572
126,1.4707974836631135
127,1.3940044522990083
128,1.525917101242007
129,1.5314429672525847
130,1.2641548835484702
131,1.192187648422979
132,1.28979551549126
133,1.4073623243623203
134,1.1635210928740807
