,ell,ksz_cl
0,0,0.5902432773569176
1,1,0.5380243532792299
2,2,0.371932251418102
3,3,2.35928276807329
4,4,0.6340694608790747
5,5,0.6452158289888789
6,6,1.3546426814348622
7,7,0.32668479890983165
8,8,0.4728824231442883
9,9,1.3186082410224924
10,10,0.9933007746546281
11,11,0.6383906382568896
12,12,0.5190234354547993
13,13,0.47318397732471146
14,14,0.1921291494664583
15,15,0.14792843292206004
16,16,0.26455097616799317
17,17,0.29056683950790135
18,18,0.2506851025738593
19,19,0.23435330927334916
20,20,0.15611326642032033
21,21,0.1325761210777561
22,22,0.1351161313238561
23,23,0.144112075365802
24,24,0.17870670268593897
25,25,0.16661657644874747
26,26,0.09596018754301329
27,27,0.0848916245346211
28,28,0.06029409804816721
29,29,0.08201791177514887
30,30,0.06841396606966428
31,31,0.07105430003522631
32,32,0.07390263902580302
33,33,0.06984020425253055
34,34,0.08039496778750516
35,35,0.059501960144776905
36,36,0.05285498814468492
37,37,0.06025010259784762
38,38,0.047648364832691005
39,39,0.03267245985790936
40,40,0.034889057014823685
41,41,0.031165126139049183
42,42,0.040699165375910125
43,43,0.03743873751962107
44,44,0.033193919826157256
45,45,0.04176402398657093
46,46,0.019974635572504913
47,47,0.03243552379700157
48,48,0.02041193918501269
49,49,0.02249993936136377
50,50,0.015980514840372606
51,51,0.020842672183587235
52,52,0.01816526937006465
53,53,0.024468724492694476
54,54,0.020978966523219778
55,55,0.016926052358086394
56,56,0.01548541496000432
57,57,0.015067567342696923
58,58,0.011428447647380754
59,59,0.01310611657740931
60,60,0.011488830317751591
61,61,0.01495403624586693
62,62,0.011387556459802948
63,63,0.015212195738184022
64,64,0.010712280944232381
65,65,0.009589289309363687
66,66,0.009810458935798924
67,67,0.008354672367462356
68,68,0.006390611773309293
69,69,0.006896547108438093
70,70,0.008526224249829418
71,71,0.00707021118370836
72,72,0.006490151068863112
73,73,0.0049298123726217785
74,74,0.007035064714863269
75,75,0.005098907193158742
76,76,0.006213348632485376
77,77,0.005637099419587709
78,78,0.004574373928605765
79,79,0.0053160922039257345
80,80,0.004915792332093705
81,81,0.005215950209869106
82,82,0.00545810635094641
83,83,0.004842226155324607
84,84,0.005152825491985415
85,85,0.004833328083256018
86,86,0.0041379960739406415
87,87,0.004129398453470426
88,88,0.003572691399455041
89,89,0.003220545359180057
90,90,0.0033852739838381753
91,91,0.003484809871548097
92,92,0.003228519004871833
93,93,0.004082644883269231
94,94,0.0027403842162420653
95,95,0.002746364812404319
96,96,0.0030654919015768328
97,97,0.0029288062112958297
98,98,0.0028925756481529862
99,99,0.0028001614082521936
100,100,0.0026564028494121235
101,101,0.0022824647296174234
102,102,0.002438051657952945
103,103,0.0019064086991746353
104,104,0.001798025646173284
105,105,0.0024373924136969973
106,106,0.0020418802585778603
107,107,0.0019350374491896006
108,108,0.001568252913648425
109,109,0.0015723382747070867
110,110,0.0017374059315013043
111,111,0.0015604088456386512
112,112,0.0015813902723287403
113,113,0.0015783289417346622
114,114,0.0014584194223100022
115,115,0.0014391319432088268
116,116,0.0015713206427185255
117,117,0.0014745623555355654
118,118,0.0012951804428937344
119,119,0.0015172499790142467
120,120,0.0013293037964237126
121,121,0.0013482400690798474
122,122,0.0012938761696573865
123,123,0.001058081212698025
124,124,0.001247602027847824
125,125,0.0012170851015918128
126,126,0.0010958829446027804
127,127,0.0009504367029054294
128,128,0.0011056575594827237
129,129,0.0010810165045962443
130,130,0.0011031626834807407
131,131,0.0009244324124861741
132,132,0.000982217815647197
133,133,0.0009265519097269667
134,134,0.0009054410892124937
135,135,0.000810529810415953
136,136,0.0008220572860860151
137,137,0.0008368026153785526
138,138,0.0008874511034779332
139,139,0.0008704698337342342
140,140,0.0007877197094533705
141,141,0.0007778910632637347
142,142,0.0009373015850425888
143,143,0.0007039775307686625
144,144,0.0007184761578693752
145,145,0.0007270987217036248
146,146,0.0006175845597383968
147,147,0.0006633567725292879
148,148,0.0005852417598207529
149,149,0.0007103587829140671
150,150,0.0005954967488391834
151,151,0.0006413189088844134
152,152,0.0005564595321606388
153,153,0.0005605555628276617
154,154,0.0004992703745996313
155,155,0.0006423467716545284
156,156,0.0005366217829838289
157,157,0.00048745197736330657
158,158,0.0005851898789758456
159,159,0.0005472431949032643
160,160,0.0005002614604650188
161,161,0.0005240720151776767
162,162,0.000500923251058282
163,163,0.00048791879887180156
164,164,0.0004651020140435622
165,165,0.00046103971064790744
166,166,0.00044534880366503885
167,167,0.00045243573203401544
168,168,0.00039561894713190527
169,169,0.0003907006340599424
170,170,0.0004059808690017688
171,171,0.00040612239389825887
172,172,0.00037127695501404183
173,173,0.00041081408678264055
174,174,0.0003524514169827541
175,175,0.0003696317318038301
176,176,0.0003424934131857233
177,177,0.0003634472548903778
178,178,0.0003789151147556653
179,179,0.0003257111162434817
180,180,0.0003276796766364891
181,181,0.00035803667700176546
182,182,0.0003534951876056961
183,183,0.000282378420309973
184,184,0.00032931310864189894
185,185,0.00035658102485170367
186,186,0.0003101112768871182
187,187,0.0003166215360656433
188,188,0.0002802219635255493
189,189,0.0002991023484804731
190,190,0.00028457468750010644
191,191,0.00027711470955329163
192,192,0.0003084647636577683
193,193,0.000268953557816783
194,194,0.0002649573208159677
195,195,0.00025691070729052276
196,196,0.00027759890170300333
197,197,0.00028341536141890855
198,198,0.00024854522670990397
199,199,0.0002663875640103
200,200,0.00023749226988555817
201,201,0.0002620318297300481
202,202,0.0002486164835553107
203,203,0.0002674864643305872
204,204,0.00025194558054672273
205,205,0.0002558023496912069
