Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,7.691175773919001e-07,2.336810867022686e-08,-0.002731935245800829,0.030139378321301417,30,4000,30,15,1.0,200
340.0,7.241654668879128e-07,1.6507126773472845e-08,-0.0007863247425207304,0.022962639931783175,30,4000,30,15,1.0,200
540.0,7.7473427842824e-07,1.529191074293255e-08,0.00030510288510118513,0.01888091626302455,30,4000,30,15,1.0,200
740.0,8.552623354934055e-07,1.712554449748615e-08,0.00013144960400538556,0.020161523439398824,30,4000,30,15,1.0,200
940.0,9.635506708657102e-07,2.317526136277896e-08,-0.00012140378012815999,0.023851901520245092,30,4000,30,15,1.0,200
1140.0,1.126662953480314e-06,1.6778273897350176e-08,-0.000823804254846891,0.014834641907496964,30,4000,30,15,1.0,200
1340.0,1.33337434220583e-06,3.3088585899052254e-08,-0.0007644983007302867,0.024920208324273416,30,4000,30,15,1.0,200
1540.0,1.6305472546548147e-06,2.5944806181503616e-08,-0.0002618158341105136,0.01596384159320567,30,4000,30,15,1.0,200
1740.0,1.933086985514183e-06,3.365439256746927e-08,-0.0002871949414511769,0.01704212093225418,30,4000,30,15,1.0,200
1940.0,2.291097152536902e-06,3.5733037259147826e-08,-0.0002908648443739727,0.015591846691238531,30,4000,30,15,1.0,200
2140.0,2.6403544174037453e-06,4.838733833659383e-08,-0.0003489877060142614,0.018033929042310968,30,4000,30,15,1.0,200
2340.0,3.0623786610694212e-06,5.401575965144009e-08,2.39829750365746e-06,0.017567066697649802,30,4000,30,15,1.0,200
2540.0,3.6564550506142127e-06,4.8867732676875164e-08,-0.0006370404578942434,0.01349999645381277,30,4000,30,15,1.0,200
2740.0,4.507924994772132e-06,6.463964285664382e-08,0.00020428943124083335,0.01443967529954081,30,4000,30,15,1.0,200
2940.0,5.8248404885804954e-06,5.922969623011536e-08,-0.00015960785516874678,0.01014989600215141,30,4000,30,15,1.0,200
3140.0,7.878618325032824e-06,8.249103211109415e-08,-4.6332874972024504e-05,0.010332363912424265,30,4000,30,15,1.0,200
3340.0,1.1140232115545553e-05,1.19396319318981e-07,-9.250471312404302e-05,0.010623154382173778,30,4000,30,15,1.0,200
3540.0,1.6535557066870023e-05,1.375991541280333e-07,0.00011522962154920356,0.0083552575358404,30,4000,30,15,1.0,200
3740.0,2.5625634949799786e-05,2.5468130989666186e-07,0.00038618266700729407,0.009958363785441255,30,4000,30,15,1.0,200
