ells,cls
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.017073109310406225
31,0.016458522849299814
32,0.015843936388193407
33,0.015229349927086997
34,0.014614763465980589
35,0.01400017700487418
36,0.01338559054376777
37,0.012771004082661361
38,0.012156417621554953
39,0.011541831160448544
40,0.010927244699342135
41,0.010312658238235725
42,0.009698071777129317
43,0.009083485316022908
44,0.008468898854916498
45,0.00785431239381009
46,0.007239725932703681
47,0.006625139471597272
48,0.0060105530104908635
49,0.005395966549384453
50,0.004781380088278045
51,0.004632863035272647
52,0.004484345982267249
53,0.004335828929261851
54,0.004187311876256454
55,0.004038794823251056
56,0.003890277770245658
57,0.0037417607172402605
58,0.0035932436642348627
59,0.003444726611229465
60,0.0032962095582240673
61,0.0031476925052186695
62,0.0029991754522132714
63,0.0028506583992078736
64,0.002702141346202476
65,0.002553624293197078
66,0.0024051072401916804
67,0.0022565901871862827
68,0.002108073134180885
69,0.0019595560811754872
70,0.0018110390281700895
71,0.0017637531200786068
72,0.001716467211987124
73,0.0016691813038956413
74,0.0016218953958041585
75,0.0015746094877126758
76,0.0015273235796211932
77,0.0014800376715297103
78,0.0014327517634382275
79,0.0013854658553467448
80,0.0013381799472552622
81,0.0012908940391637793
82,0.0012436081310722967
83,0.001196322222980814
84,0.0011490363148893312
85,0.0011017504067978483
86,0.0010544644987063657
87,0.001007178590614883
88,0.0009598926825234002
89,0.0009126067744319174
90,0.0008653208663404348
91,0.0008456071093057405
92,0.0008258933522710464
93,0.0008061795952363521
94,0.0007864658382016579
95,0.0007667520811669637
96,0.0007470383241322694
97,0.0007273245670975753
98,0.000707610810062881
99,0.0006878970530281868
100,0.0006681832959934927
101,0.0006484695389587984
102,0.0006287557819241042
103,0.0006090420248894099
104,0.0005893282678547157
105,0.0005696145108200216
106,0.0005499007537853273
107,0.0005301869967506331
108,0.0005104732397159389
109,0.0004907594826812447
110,0.00047104572564655046
111,0.00046189175936287946
112,0.0004527377930792085
113,0.0004435838267955375
114,0.0004344298605118665
115,0.0004252758942281956
116,0.0004161219279445246
117,0.00040696796166085365
118,0.00039781399537718265
119,0.00038866002909351165
120,0.0003795060628098407
121,0.0003703520965261697
122,0.0003611981302424987
123,0.0003520441639588278
124,0.0003428901976751568
125,0.0003337362313914858
126,0.00032458226510781484
127,0.00031542829882414384
128,0.00030627433254047285
129,0.0002971203662568019
130,0.0002879663999731309
131,0.00028274262675500743
132,0.00027751885353688395
133,0.00027229508031876047
134,0.000267071307100637
135,0.0002618475338825135
136,0.00025662376066439
137,0.00025139998744626654
138,0.00024617621422814306
139,0.00024095244101001955
140,0.00023572866779189607
141,0.0002305048945737726
142,0.0002252811213556491
143,0.00022005734813752563
144,0.00021483357491940212
145,0.00020960980170127864
146,0.00020438602848315516
147,0.00019916225526503168
148,0.0001939384820469082
149,0.0001887147088287847
150,0.00018349093561066123
151,0.00018082558848786444
152,0.00017816024136506768
153,0.0001754948942422709
154,0.00017282954711947412
155,0.00017016419999667733
156,0.00016749885287388054
157,0.00016483350575108378
158,0.000162168158628287
159,0.00015950281150549023
160,0.00015683746438269343
161,0.00015417211725989667
162,0.00015150677013709988
163,0.0001488414230143031
164,0.00014617607589150633
165,0.00014351072876870954
166,0.00014084538164591275
167,0.00013818003452311598
168,0.0001355146874003192
169,0.00013284934027752243
170,0.00013018399315472564
171,0.00012847595976663403
172,0.0001267679263785424
173,0.00012505989299045083
174,0.00012335185960235922
175,0.0001216438262142676
176,0.00011993579282617599
177,0.00011822775943808439
178,0.00011651972604999278
179,0.00011481169266190118
180,0.00011310365927380957
181,0.00011139562588571795
182,0.00010968759249762636
183,0.00010797955910953474
184,0.00010627152572144314
185,0.00010456349233335153
186,0.00010285545894525992
187,0.00010114742555716832
188,9.943939216907672e-05
189,9.773135878098511e-05
190,9.60233253928935e-05
191,9.48125015283813e-05
192,9.360167766386911e-05
193,9.239085379935691e-05
194,9.118002993484473e-05
195,8.996920607033253e-05
196,8.875838220582033e-05
197,8.754755834130815e-05
198,8.633673447679595e-05
199,8.512591061228376e-05
200,8.391508674777156e-05
201,8.270426288325936e-05
202,8.149343901874718e-05
203,8.028261515423498e-05
204,7.90717912897228e-05
205,7.78609674252106e-05
206,7.66501435606984e-05
207,7.543931969618621e-05
208,7.422849583167401e-05
209,7.301767196716183e-05
210,7.180684810264963e-05
211,7.127244581112553e-05
212,7.073804351960143e-05
213,7.020364122807731e-05
214,6.966923893655321e-05
215,6.913483664502911e-05
216,6.8600434353505e-05
217,6.80660320619809e-05
218,6.75316297704568e-05
219,6.69972274789327e-05
220,6.64628251874086e-05
221,6.592842289588449e-05
222,6.539402060436039e-05
223,6.485961831283629e-05
224,6.432521602131217e-05
225,6.379081372978807e-05
226,6.325641143826397e-05
227,6.272200914673987e-05
228,6.218760685521577e-05
229,6.165320456369166e-05
230,6.111880227216756e-05
231,6.0640763379091726e-05
232,6.01627244860159e-05
233,5.968468559294007e-05
234,5.920664669986425e-05
235,5.872860780678842e-05
236,5.825056891371259e-05
237,5.7772530020636763e-05
238,5.729449112756093e-05
239,5.681645223448511e-05
240,5.633841334140928e-05
241,5.586037444833345e-05
242,5.5382335555257625e-05
243,5.4904296662181794e-05
244,5.442625776910597e-05
245,5.394821887603014e-05
246,5.347017998295431e-05
247,5.2992141089878486e-05
248,5.2514102196802655e-05
249,5.203606330372683e-05
250,5.1558024410651e-05
251,5.115371328710228e-05
252,5.074940216355356e-05
253,5.0345091040004847e-05
254,4.9940779916456124e-05
255,4.95364687929074e-05
256,4.9132157669358685e-05
257,4.872784654580997e-05
258,4.832353542226125e-05
259,4.7919224298712524e-05
260,4.751491317516381e-05
261,4.711060205161509e-05
262,4.670629092806637e-05
263,4.630197980451765e-05
264,4.589766868096893e-05
265,4.5493357557420215e-05
266,4.508904643387149e-05
267,4.468473531032277e-05
268,4.4280424186774054e-05
269,4.387611306322534e-05
270,4.3471801939676616e-05
271,4.320304524092793e-05
272,4.293428854217925e-05
273,4.2665531843430575e-05
274,4.239677514468189e-05
275,4.212801844593321e-05
276,4.1859261747184535e-05
277,4.159050504843585e-05
278,4.132174834968717e-05
279,4.105299165093849e-05
280,4.0784234952189805e-05
281,4.051547825344113e-05
282,4.024672155469245e-05
283,3.9977964855943765e-05
284,3.970920815719509e-05
285,3.944045145844641e-05
286,3.9171694759697725e-05
287,3.890293806094904e-05
288,3.863418136220036e-05
289,3.8365424663451684e-05
290,3.8096667964703e-05
291,3.7987105357639124e-05
292,3.7877542750575254e-05
