ell,ksz_lt_Cls
0,0.4373582671297958
1,0.6974771995032364
2,0.355442333707099
3,0.40214879590121705
4,0.6935335720669512
5,0.2116065157055792
6,0.11117203186061529
7,0.190152074878457
8,0.2405343879619342
9,0.08029648524428427
10,0.061367828788965774
11,0.09580792830504976
12,0.07884600424890113
13,0.07301626764199197
14,0.0319215637042666
15,0.03601111271568769
16,0.03775486886835646
17,0.05522039708049611
18,0.024600744654184548
19,0.03857329491316643
20,0.03330060291572996
21,0.03940803977970849
22,0.018963290169364433
23,0.023360686715945336
24,0.02944008747338722
25,0.021581204211903283
26,0.02214945089829078
27,0.018210030514517125
28,0.014858945487997554
29,0.01674595762090139
30,0.015866772231686917
31,0.011805318488395302
32,0.013014173839138676
33,0.00895270256231671
34,0.010930001901203534
35,0.009844623487596346
36,0.010545981233436693
37,0.00720409118768617
38,0.008431990366112214
39,0.006848234287155658
40,0.009426667864525718
41,0.008211750412444879
42,0.006393830104406177
43,0.006584159633224711
44,0.006104744621918021
45,0.005176976100959842
46,0.004868149795617716
47,0.005008588755811353
48,0.004215125608696546
49,0.004498912724650808
50,0.004174497195210319
51,0.004797005845634181
52,0.0035013183047414233
53,0.00334966161442944
54,0.003777542076568532
55,0.0035706639921618613
56,0.003158104377662838
57,0.00267120130309241
58,0.0028686692898538227
59,0.0032700329416940296
60,0.0035142008605083034
61,0.0023766857100419713
62,0.002397098706399697
63,0.0024948779429415173
64,0.0017724637446698906
65,0.001877090835392903
66,0.0019439978112333362
67,0.0019080792306246457
68,0.0020010559803958997
69,0.001838439443884932
70,0.0014906040937787332
71,0.0014034602268289088
72,0.0015762715556898617
73,0.0015220356065859578
74,0.0014343105379273026
75,0.0016083906989359062
76,0.001452004037320536
77,0.0010692610076547813
78,0.0012920161741826538
79,0.0012484360020515867
80,0.0013982354934447357
81,0.0012703908396792948
82,0.0009546291465443785
83,0.0009908994722570078
84,0.0008093104823222972
85,0.0010524186820345212
86,0.0008602234835309676
87,0.0009885176042574
88,0.0008845937895929349
89,0.0007880088287193135
90,0.0008980132822648127
91,0.0008545065898663814
92,0.0007557123424467947
93,0.0008517591397589359
94,0.0006399408639566664
95,0.0006432850686264188
96,0.0006605120988455559
97,0.0006052807004910655
98,0.0006656935382575438
99,0.0007344861670035749
100,0.0007789876427434353
101,0.0006059234994944528
102,0.0005823033484328958
103,0.0005624920539501061
104,0.0004609571613705602
105,0.0004960154940717192
106,0.0005015745537881772
107,0.0005293924971340912
108,0.0004981436667576408
109,0.0005158516796645733
110,0.0004570630623861859
111,0.0004010571132683855
112,0.00041676716585467295
113,0.00034071310410786033
114,0.00041613555050547165
115,0.0003838768333648054
116,0.00039521471504860704
117,0.00032559560866097674
118,0.0003796742603411818
119,0.0003731754681648906
120,0.00040312288979212096
121,0.00034275911967077805
122,0.0003871544578287302
123,0.0003134092874667009
124,0.00027826548230264447
125,0.00034887247163108517
126,0.0002935325941774859
127,0.00030436108200339735
128,0.0003069355274065995
129,0.00030504599443123906
130,0.00026998897144564076
131,0.00024308578186421162
132,0.00030707645897097905
133,0.0002943819331172977
134,0.00024145740854657788
135,0.00024080063322258057
136,0.00023614516162271429
137,0.0001993525684170948
138,0.0002245949537842027
139,0.00021898519714365277
140,0.00021648930247167598
141,0.00022878805983960704
142,0.0002446989690512217
143,0.00019186702016096946
144,0.00021057233684775264
145,0.0001940901172990758
146,0.00019350548672508971
147,0.00015904541935967057
148,0.00017873974329279957
149,0.00018860834144481886
150,0.00015692986330334818
151,0.0001899622216535008
152,0.00018053238706505724
153,0.00017473755262896958
154,0.0001505002911260388
155,0.0001845443066213666
156,0.00017907789656611866
157,0.00015827854689700897
158,0.0001416629631645455
159,0.00014718788511867693
160,0.00015814637459681113
161,0.0001483834067010202
162,0.00014552851635164446
163,0.00014817410236598916
164,0.00012121734295748244
165,0.00016180534997968
166,0.0001442014439067032
167,0.0001453221397145548
168,0.0001383694660172407
169,0.00014753918115765254
170,0.00012947381217389307
171,0.00011842008372711062
172,0.00012304491398755176
173,0.0001182589680646291
174,0.00011448860589366336
175,0.00011078560577960568
176,0.00010621293577478411
177,0.00011141471229315873
178,0.0001074598874053392
179,0.00010543304425267008
180,0.00010903282358141269
181,9.742088716152722e-05
182,0.00011536136301694534
183,0.00010652191974044642
184,9.675664724285433e-05
185,0.0001064379043208589
186,0.00010625949761272712
187,9.326433759703642e-05
188,9.911074557901467e-05
189,0.00010387356358759467
190,9.329659445870747e-05
191,7.778899769929282e-05
192,0.00010629859518046016
193,0.00011355916181437608
194,9.651619693094701e-05
195,7.79127538572895e-05
196,7.90157946617883e-05
197,8.756009096681067e-05
198,8.115863587638266e-05
199,7.331997452291086e-05
200,8.22359536966523e-05
201,7.276528188744358e-05
202,6.824875904956657e-05
203,7.28114206482215e-05
204,7.531233421356873e-05
205,7.294257609332328e-05
206,7.236799768269855e-05
207,8.314203201679491e-05
208,7.538496219184395e-05
209,6.841547143488657e-05
210,6.846090424663696e-05
211,7.10329894092572e-05
212,7.745584881626281e-05
213,6.798066768423373e-05
214,7.61819246053595e-05
215,6.66292505065547e-05
216,7.215851938939573e-05
217,6.648941139390114e-05
218,6.400262814346814e-05
219,6.211799442475368e-05
220,6.484867082555746e-05
221,7.118318034745942e-05
222,6.866204466560738e-05
223,6.487523384253918e-05
224,7.62023838221353e-05
225,6.50246165348614e-05
226,6.233508244460785e-05
227,6.850835201405265e-05
228,5.823079120894686e-05
229,5.9660085903301055e-05
230,5.758912644027897e-05
231,5.786970995121953e-05
232,5.703180241562452e-05
233,6.407631082919794e-05
234,5.6034325811435054e-05
235,5.547217963533945e-05
236,5.5648558319816317e-05
237,5.878579466866325e-05
238,5.169013007258393e-05
239,4.864763543678754e-05
240,5.5327366608482505e-05
241,5.559704787302037e-05
242,5.035732729986959e-05
243,5.914948222228332e-05
244,5.269394001267214e-05
245,5.786603065119347e-05
246,5.782373881875467e-05
247,4.871786506266878e-05
248,5.370809407708812e-05
249,5.428640246550785e-05
250,5.6056050621758026e-05
251,4.880912130952711e-05
252,4.8436528148100505e-05
253,4.7100222493859064e-05
254,4.950072571244856e-05
255,4.855982811550909e-05
256,4.6772182889100794e-05
257,5.261471265853863e-05
258,4.449124702077856e-05
259,4.329255783223612e-05
260,3.714268358007403e-05
261,4.869182479487237e-05
262,4.517278704419913e-05
