L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,6.874433510107735e-07,7.198157423911501e-08,6.859232475207518e-07,7.425732062542485e-08,-0.002522019891793669,0.009056670342607053
100.0,7.129580311560764e-07,9.487219422796946e-08,7.127177523914917e-07,9.367385546362526e-08,6.9828591237427e-06,0.009081807035796098
140.0,6.873034178746899e-07,5.7506692443597515e-08,6.854878048594623e-07,5.7161091356700315e-08,-0.002592722668378361,0.007322514531599693
180.0,7.04446033871796e-07,5.542611985966765e-08,7.060804542747176e-07,5.665619940061399e-08,0.002234716817448377,0.00808555043430701
220.0,7.361822409226549e-07,6.756463349205554e-08,7.364154572210015e-07,6.662329026241968e-08,0.00046669604172554403,0.006784966034054994
260.0,8.092578294860096e-07,5.7277586778553184e-08,8.080907060197163e-07,5.7851546384776616e-08,-0.0014909868898983832,0.006494503811003823
300.0,9.164447702498948e-07,6.358139177286168e-08,9.150619235962806e-07,6.423446150745545e-08,-0.001545822134258838,0.006714276066375084
340.0,1.003762332303356e-06,5.8173954959811983e-08,1.0016759376887934e-06,5.792203602901912e-08,-0.0020591690561545346,0.0046040545701997925
380.0,1.0322248687652462e-06,6.557106537222209e-08,1.0315557810828824e-06,6.628643680502505e-08,-0.0006845050695841872,0.0055648960430217526
420.0,9.856407903346056e-07,4.825296270814712e-08,9.825421994016808e-07,4.9187501046775826e-08,-0.003185183422535716,0.00445784164460295
460.0,9.578801042714283e-07,5.375392006505866e-08,9.55984712227055e-07,5.1295921725523036e-08,-0.001837830993499993,0.0050550384743682664
500.0,1.008455573018102e-06,5.905472720268373e-08,1.0087685541056337e-06,5.909287652635658e-08,0.000316988137715832,0.003133219721176973
540.0,1.0248975340243601e-06,5.4098711973925356e-08,1.0253324533402534e-06,5.456056813074479e-08,0.0004162569809314247,0.005521154109650453
580.0,1.0763439473876042e-06,3.358181732719314e-08,1.0742864794668242e-06,3.329816745692718e-08,-0.0018991850948189306,0.004448233234767659
620.0,1.140774568284598e-06,4.636726001491285e-08,1.1431978548821494e-06,4.692131487696795e-08,0.0021166997533619367,0.004814501633415016
660.0,1.198262204626662e-06,4.843151718582509e-08,1.1977353238560408e-06,4.947780066700192e-08,-0.00046582858403461554,0.003865342927926487
700.0,1.2338632543792025e-06,5.756959499409493e-08,1.2348623822113755e-06,5.72480219411067e-08,0.0008331829165936825,0.0039476552589595305
740.0,1.260286740788645e-06,4.269273755488426e-08,1.2617234429191058e-06,4.459416581051189e-08,0.0010986495637635336,0.004283866690110657
780.0,1.3040216709953598e-06,6.272856048029959e-08,1.303939650061381e-06,6.19961623087544e-08,-2.871816906385929e-05,0.0040747753692045125
