Ls,bias,bias_err
140.0,0.00557942640914049,9.059297892880886e-19
340.0,0.020550677269684903,0.0
540.0,0.00896130636718942,0.0
740.0,0.002712191857450113,9.059297892880886e-19
940.0,-0.008962661961277677,1.8118595785761773e-18
1140.0,-0.0005774083323150475,0.0
1340.0,-0.010910586029860838,3.6237191571523546e-18
1540.0,0.017636154641475943,0.0
1740.0,0.0005743911754023033,1.1324122366101108e-19
1940.0,0.00010259163324068318,4.246545887287916e-20
2140.0,0.00970105649726879,1.8118595785761773e-18
2340.0,-0.0015211153528371347,4.529648946440443e-19
2540.0,0.0025778273953983286,4.529648946440443e-19
2740.0,0.00020973200985902515,0.0
2940.0,0.01279992493803587,0.0
3140.0,-0.004520089058180834,9.059297892880886e-19
3340.0,0.005171424443991121,9.059297892880886e-19
3540.0,0.00017327152155256843,2.831030591525277e-20
3740.0,0.010019590865800012,0.0
