Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err
140.0,2.1344750371836164e-07,6.1082175511831634e-09,-0.016211496192999802,0.029113603488374003
340.0,7.913534169733018e-08,2.1495658948453343e-09,-0.016631271358951375,0.027798600517205792
540.0,6.092186889844722e-08,1.3856534366571535e-09,-0.015122022945782835,0.02288904421991353
740.0,5.2441658086601804e-08,1.3300947486916711e-09,-0.010692252719444623,0.025692451781819257
940.0,4.727496831742869e-08,1.1957905456460687e-09,-0.004923667049356977,0.024605838706988407
1140.0,4.369790375851677e-08,9.165168423808674e-10,-0.006629009194998047,0.020953987461712124
1340.0,4.0012644237886094e-08,5.475280521481211e-10,-0.004029149708445451,0.013687479546385786
1540.0,3.736960364463107e-08,5.728455279240382e-10,-0.004940323044018224,0.015285147544823397
1740.0,3.476928953072191e-08,2.761016349078717e-10,-0.004396427628318784,0.007987475271062935
1940.0,3.270584746308895e-08,3.782138972841761e-10,-0.005388148443355213,0.011566083628497027
2140.0,3.1359013576331015e-08,3.519912982471328e-10,-0.007927471539229063,0.011303978779801936
2340.0,3.034417539965746e-08,3.865567582189125e-10,-0.0055989264979945845,0.01278356914396065
2540.0,3.0124686990237485e-08,4.219004518460843e-10,-0.004007401947178336,0.014111243696632528
2740.0,3.1166130683670935e-08,4.278901283990752e-10,-0.006386746474533761,0.013803524819016293
2940.0,3.344176459333724e-08,5.995301254967972e-10,-0.0050973597924121195,0.01790678473154452
3140.0,3.762844013332056e-08,5.396784154347185e-10,-0.004000403877599765,0.014450174547307104
3340.0,4.736998095705251e-08,9.88917986378225e-10,-0.0035738860955332433,0.020642290918741323
3540.0,5.897319642673277e-08,9.647290922325608e-10,-0.0033307093568278484,0.016344835096254718
3740.0,6.724371136705589e-08,1.4170675956405398e-09,-0.003132768402582314,0.02113593318711896
