Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err
140.0,2.7633395948802126e-07,8.483991292300355e-09,-0.008658232721292465,0.030294224548877494
340.0,1.035880861491178e-07,3.1356207289557897e-09,-0.0038552795200812572,0.030559192545711683
540.0,8.249896528786576e-08,1.7774631891741335e-09,-0.007356591792529507,0.021667753890872353
740.0,7.299363132072986e-08,1.6421653069521371e-09,-0.004525114206800938,0.02288926192069429
940.0,6.727661575039617e-08,1.0744301241540137e-09,-0.0020015425187381477,0.015887254951323242
1140.0,6.325063465477e-08,9.434862183269862e-10,-0.0034628286185818956,0.014982866900320815
1340.0,5.937929020992293e-08,1.0584757748856604e-09,-0.004211472548659555,0.017790052496952893
1540.0,5.6667712183708035e-08,7.050783857001745e-10,-0.0017505095341826544,0.012477733147182285
1740.0,5.4214078677539123e-08,6.339305307365575e-10,-0.0023830019524401164,0.011849554946449042
1940.0,5.2773038538335394e-08,5.886234947662386e-10,-0.002012255699913077,0.01116417017983237
2140.0,5.225220307892343e-08,4.697824763972323e-10,-0.002357643751450361,0.009016452554410364
2340.0,5.234747398624634e-08,5.486462659634831e-10,-0.0014475916842762546,0.010533569492376603
2540.0,5.426405398717994e-08,6.938377477684036e-10,-0.0018274652673420982,0.012630332380992485
2740.0,5.844627006928342e-08,8.035408861816184e-10,-0.002448646503837634,0.013626650286816009
2940.0,6.508967327893753e-08,1.2302776491743638e-09,-0.00024212331272757334,0.01866027678890597
3140.0,7.46163210355523e-08,1.0299822469790447e-09,-0.0019956299892956563,0.013888913683295458
3340.0,9.102433380120387e-08,1.6761820137353048e-09,0.0005672083119474333,0.018231463377129716
3540.0,1.0862689434598368e-07,1.742749756238136e-09,-0.001814611480350369,0.016054227593558776
3740.0,1.2031657781830676e-07,1.8763676479266287e-09,-0.0007153068752725993,0.015710030718861987
