Ls,noise_cl
140.0,2.9529231429569097e-08
340.0,3.160894898668189e-08
540.0,3.205464194251109e-08
740.0,3.219044355693041e-08
940.0,3.176365069247175e-08
1140.0,3.0842428898237535e-08
1340.0,2.9742066413327806e-08
1540.0,2.8432148124647966e-08
1740.0,2.704450099891247e-08
1940.0,2.581894309425427e-08
2140.0,2.4854651814795837e-08
2340.0,2.4198886646519742e-08
2540.0,2.4040095874589734e-08
2740.0,2.4914752056900658e-08
2940.0,2.667049430853465e-08
3140.0,2.9905413745565763e-08
3340.0,3.7803190001815515e-08
3540.0,4.751925867235321e-08
3740.0,5.52391954911259e-08
