Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err
140.0,7.663461894753708e-07,3.449445007095004e-08,-0.003290572102591807,0.04341931517022748
340.0,7.321593954635515e-07,2.5709342494959532e-08,-0.0018455951758135612,0.035189316985192974
540.0,7.729179682066774e-07,2.357364269003586e-08,-0.0012990872467415592,0.03057125153321751
740.0,8.567777708951911e-07,1.530905837531744e-08,0.0004571743874078801,0.0180343232664556
940.0,9.68251427895214e-07,1.5316197233795152e-08,-3.573689385955673e-05,0.015825511040772032
1140.0,1.1249480573733494e-06,2.685911105744506e-08,-0.001089623402968056,0.02345119437850144
1340.0,1.3330551581359786e-06,2.1984636116661846e-08,-9.949989996398152e-05,0.016394648688436042
1540.0,1.6260900066153234e-06,1.8836466876619772e-08,0.00013652892761776463,0.01157717296690413
1740.0,1.9468932050586525e-06,3.9313039616254075e-08,-0.0005698620460779331,0.020162485254517956
1940.0,2.301959233500576e-06,3.296556626590953e-08,3.9887990506226254e-05,0.01427814840724221
2140.0,2.6532718039802657e-06,3.339742651024111e-08,0.00020377078287099992,0.012614022015896951
2340.0,3.0672546464601048e-06,4.200694720811098e-08,-0.00039402580198188747,0.013535621232806926
2540.0,3.6544158917038376e-06,4.258397514793538e-08,0.0003666628122616547,0.01166046450033416
2740.0,4.500797723662211e-06,3.94789393156657e-08,0.00013073893042970093,0.008759149902741776
2940.0,5.797987075820224e-06,6.202417969874898e-08,-0.00031099738677788606,0.0107404938731772
3140.0,7.83801022411794e-06,7.0290414422164e-08,0.00017023553868453253,0.008900886205946293
3340.0,1.1169123318261948e-05,1.1902157552384341e-07,-0.0002452834246824392,0.010743830588168767
3540.0,1.6666582703257773e-05,1.6329178050656342e-07,0.0002759282549728656,0.009803965246833187
3740.0,2.5643775816043388e-05,1.7962921886389512e-07,-2.0899351657757605e-05,0.007023684777852601
