Ls,noise_cl,norm
140.0,5.2309301887316605e-08,1.2671462517779006e-11
340.0,5.623284860426071e-08,2.0016638124795535e-12
540.0,5.5858122071458765e-08,7.759492593587218e-13
740.0,5.5126298345015415e-08,4.057518418814903e-13
940.0,5.394502037886228e-08,2.4525816856380743e-13
1140.0,5.247946127474054e-08,1.620494767124476e-13
1340.0,5.1072839164487394e-08,1.1407247483388548e-13
1540.0,4.959361702416123e-08,8.38210151174985e-14
1740.0,4.827379135434103e-08,6.387287989895118e-14
1940.0,4.742967416969725e-08,5.046297961994254e-14
2140.0,4.714582189541726e-08,4.1205900197467436e-14
2340.0,4.772782995849576e-08,3.4875634294776263e-14
2540.0,4.955337694679204e-08,3.0715648955115785e-14
2740.0,5.3395362327793425e-08,2.843438875720078e-14
2940.0,5.949599760355261e-08,2.7505515719831014e-14
3140.0,6.8534210922924e-08,2.7758085249554674e-14
3340.0,8.401613669421009e-08,3.0076912742700195e-14
3540.0,9.974230558203214e-08,3.180374539557344e-14
3740.0,1.106600300524827e-07,3.1623083638184435e-14
