Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise
140.0,7.991148154785289e-07,2.2718543038297496e-08,-0.00023358622463349202,0.029128662099777946,1.0834312072254156e-10,4.935540654122889e-07
340.0,7.463370400136558e-07,2.7567189938070062e-08,-0.0015783431684158267,0.03814186860777303,2.4344296507936302e-11,6.946380833899181e-07
540.0,7.923749373797328e-07,2.6565758684873903e-08,-0.0017243986047754008,0.033487774927322016,1.0528924272196449e-11,7.658914699780644e-07
740.0,8.806951660696325e-07,2.4738465469359884e-08,-0.0009902438574177924,0.028026408125520017,6.246315361218418e-12,8.531064773148462e-07
940.0,9.866684376101606e-07,2.3879101735495808e-08,-0.0005263523621719494,0.024141793156627823,4.382987754561981e-12,9.69118033985203e-07
1140.0,1.14227289772456e-06,2.035955557207147e-08,-0.00029818263545137335,0.01769181320067655,3.456363817267691e-12,1.1258811007220028e-06
1340.0,1.363307850363233e-06,3.7330646045659356e-08,-0.0009341529634260397,0.027524703474475307,2.9816807542193767e-12,1.3413279723411618e-06
1540.0,1.6629568698743378e-06,3.6185345010848e-08,-0.0007223002071834858,0.02163848316655904,2.7256634324187477e-12,1.6202363801437949e-06
1740.0,1.9890750315413048e-06,5.066410747613639e-08,-0.0007575385762266681,0.025502370066276855,2.5662829322876865e-12,1.946362115072603e-06
1940.0,2.351454937005897e-06,6.263880482998265e-08,-0.0006715397582665981,0.02687816527313893,2.4350415335331073e-12,2.2952509847037462e-06
2140.0,2.7256553038180053e-06,6.498353716792964e-08,-0.0005070913290597494,0.02411142616688772,2.3171913373473304e-12,2.6568533972642753e-06
2340.0,3.161380680207649e-06,6.913306419809456e-08,-0.0005767372485183722,0.0220762260111701,2.2540912787481683e-12,3.0904360041725248e-06
2540.0,3.7674976660596258e-06,1.0594065083123889e-07,-0.0008333341448349679,0.028316150323468976,2.2742451718044175e-12,3.675565935911812e-06
2740.0,4.681028382808139e-06,1.3481173277170206e-07,-0.0010870841132686359,0.02923673258290728,2.412867509160651e-12,4.539880059514618e-06
2940.0,6.019898217422935e-06,1.6490989531982988e-07,-0.0009511088578310164,0.027657379460530908,2.7079037638121043e-12,5.8684889989216785e-06
3140.0,8.179959730819379e-06,2.5047745573358875e-07,-0.0006041172875103357,0.031075633189549316,3.212125025039627e-12,7.943102431242431e-06
3340.0,1.1680312043151397e-05,3.8996171721119603e-07,-0.0012356869345663416,0.03413111753784842,4.029916316430057e-12,1.1278839481515364e-05
3540.0,1.7411194916141654e-05,6.071148164380514e-07,-0.0013755569538010546,0.035647202006890394,5.336087432968382e-12,1.67803333873186e-05
3740.0,2.7235086749540964e-05,1.147151709427876e-06,-0.0018359680184745718,0.043325663023322004,7.433399613200673e-12,2.6093581866701772e-05
