Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise
140.0,2.39814253251934e-07,2.095584581649812e-08,-0.0224414685399379,0.09347047538884827,7.233020662588981e-12,2.953535509979195e-08
340.0,8.506848960283539e-08,5.218380000773691e-09,-0.018657791209701454,0.06296639103007977,1.1202390368922999e-12,3.161143149614765e-08
540.0,6.570024300452776e-08,3.758199241737217e-09,-0.013186126150338345,0.05977135682790215,4.4404282613888054e-13,3.205616472733573e-08
740.0,5.672064583697164e-08,3.2856802604468766e-09,-0.008245132031313716,0.06038362321197042,2.3671350671400724e-13,3.219144392881731e-08
940.0,5.1469868141524853e-08,3.1473765837889145e-09,-0.005563593376759423,0.06390302347431893,1.4451279073475976e-13,3.176467293530352e-08
1140.0,4.672352230999445e-08,2.398880560339147e-09,-0.00684052140382282,0.053102425111537906,9.525811159266829e-14,3.084284468832694e-08
1340.0,4.287338603769895e-08,2.154682868775325e-09,-0.007378339346065226,0.052387801473176725,6.646326425380844e-14,2.9743420629323e-08
1540.0,3.9701493392551974e-08,1.7608584014714004e-09,-0.008014208295372149,0.04586055933989128,4.809481262648903e-14,2.843426285044057e-08
1740.0,3.692752123062564e-08,1.6275939262879663e-09,-0.006306143941466791,0.0452717327934499,3.581252554855321e-14,2.7046113890890248e-08
1940.0,3.459595766728735e-08,1.3967560251369518e-09,-0.005117219705396332,0.041247327364443434,2.74824868703356e-14,2.5819387324188535e-08
2140.0,3.2793104921722726e-08,1.129164348787294e-09,-0.00464724870047557,0.035117931230005325,2.1740562568775523e-14,2.4855799383342488e-08
2340.0,3.1613270488153425e-08,1.0416044957086984e-09,-0.004377743050835387,0.0335330563053312,1.7695479705118877e-14,2.419956879123593e-08
2540.0,3.105740260217754e-08,7.972545568443698e-10,-0.0009425128694782119,0.026090433406506623,1.4907760844942575e-14,2.4040827510004173e-08
2740.0,3.208980087499794e-08,7.177238103042598e-10,-0.004615363965124339,0.02254628664662739,1.3274084880768863e-14,2.4916699728873162e-08
2940.0,3.412069990958778e-08,7.997167623981206e-10,-0.0042792617219272406,0.023470821324122416,1.2334822585816826e-14,2.66733901982682e-08
3140.0,3.8065476734554095e-08,7.353925502490499e-10,-0.0003997327518787264,0.01942664622233485,1.211346599279039e-14,2.991074528437439e-08
3340.0,4.78155879937085e-08,9.651277956287058e-10,-0.0027766384705668317,0.020415430755585235,1.3529047579386645e-14,3.781246970707226e-08
3540.0,5.965609762795088e-08,1.3658322564306987e-09,-0.0010594528828730431,0.022826359438290998,1.514445518579069e-14,4.752439187144092e-08
3740.0,6.819934916738371e-08,1.8421417431075864e-09,-0.0003155171611546494,0.02684718767554856,1.5776589804302954e-14,5.524271100485812e-08
