Ls,reckap_x_reckap,bias,bias_err
140.0,3.4005655706972985e-08,-0.0025264685529630205,0.04227553456546106
340.0,2.4305154173922067e-08,-0.0006778714730293846,0.03229284794371978
540.0,2.7850035164920255e-08,-0.0012954643496335295,0.03481228099618393
740.0,2.811562306201227e-08,-0.0011955903145562674,0.031807328696951694
940.0,2.1980703882648292e-08,-0.0006259024087204348,0.022675112547432937
1140.0,2.6824283890621058e-08,-0.0006538329682668943,0.02334822584628114
1340.0,3.363802868083009e-08,-0.0008518286863169509,0.024804435441606654
1540.0,2.775276540241598e-08,-0.00028481444313292027,0.016637610770864727
1740.0,4.3781797763108605e-08,-0.0005648798939961142,0.02168593957045459
1940.0,4.618784796616833e-08,-0.0005712505657442659,0.01933480059840533
2140.0,5.402761550722906e-08,-0.00031747704402790153,0.01935924776008715
2340.0,6.33905685510753e-08,-0.00012695822734598802,0.01950433580449787
2540.0,7.24977033373419e-08,-0.0006061078345563273,0.018352243418798982
2740.0,1.0520661397204856e-07,-0.0008366691399006998,0.021912711160121643
