Ls,bias,bias_err
140.0,0.016316225078471143,3.6237191571523546e-18
340.0,0.023613497452798417,0.0
540.0,-0.00780090469257684,0.0
740.0,-0.014459219831332963,1.8118595785761773e-18
940.0,-0.030233235591106744,0.0
1140.0,0.0006409525158275595,1.1324122366101108e-19
1340.0,0.004001270688121298,0.0
1540.0,0.0040225547845735305,9.059297892880886e-19
1740.0,0.0022193775971797716,4.529648946440443e-19
1940.0,-0.013004932292095596,1.8118595785761773e-18
2140.0,0.0038509700688441617,0.0
2340.0,-0.016062661616681347,0.0
2540.0,0.0036985108932542344,1.358894683932133e-18
2740.0,-0.00541585745115212,0.0
2940.0,-0.00032903744954799514,5.662061183050554e-20
3140.0,-0.012236887901849985,0.0
3340.0,-0.006816527099037544,0.0
3540.0,0.0007636938700957555,1.1324122366101108e-19
3740.0,-0.0056971675314622236,1.8118595785761773e-18
