Ls,reckap_x_reckap,bias,bias_err
140.0,2.8721291177186775e-08,-0.0014535218927320276,0.03628152010920343
340.0,2.830652034922929e-08,-0.00173276453155301,0.03763168817170469
540.0,2.5233107428969638e-08,-0.0007594804752878103,0.031462581959166076
740.0,2.7883236205065464e-08,-0.0011429303703500938,0.03162796177180536
940.0,2.599994667731722e-08,-0.0006355736960122349,0.02647133905846892
1140.0,3.0020721398118404e-08,-4.9396087748244596e-05,0.02620700802362077
1340.0,3.76220079390772e-08,-0.0010434138109267253,0.02786263675647162
1540.0,3.617465185076285e-08,-0.001087664725569796,0.021969992037963796
1740.0,4.5944354993952444e-08,-0.0006826456745037134,0.022790919789897914
1940.0,5.706333267107437e-08,-0.0008571596601445087,0.024362151898136893
2140.0,7.68223695384693e-08,-0.001077276477986223,0.02848730452760771
2340.0,9.356989075149346e-08,-0.001105923823547561,0.02993536044343779
2540.0,1.0547975061150134e-07,-0.0009624148155623138,0.02818304046093179
2740.0,1.4068615904328006e-07,-0.0009249876890685484,0.030482655624364786
2940.0,1.890814270730068e-07,-0.0011572139770232182,0.03195222745385556
3140.0,2.864933168555505e-07,-0.0011881153323201317,0.035588228676310646
3340.0,4.2204216359480607e-07,-0.0014761237944674727,0.036967727161664264
3540.0,6.885435343441165e-07,-0.0018165055993248978,0.04065486311496575
3740.0,1.2581144412589823e-06,-0.002367271182670867,0.0476831641526298
3940.0,2.4965264012689606e-06,-0.0036095675494610202,0.058157096685499225
4140.0,5.0121980227948446e-06,-0.004417925297378827,0.06905886035706389
4340.0,9.884339938647558e-06,-0.005782854939855361,0.077833371056781
