Ls,reckap_x_reckap,bias,bias_err
140.0,1.3881634808003776e-08,-0.005362606606140965,0.05120925307361132
340.0,6.0545715285726995e-09,-0.0015144201915919988,0.04133084711994482
540.0,5.508192265608837e-09,-0.001109072427895177,0.04112317150558503
740.0,6.0827309975354105e-09,-0.003195494204119297,0.04711961050631275
940.0,4.909483063909701e-09,-0.0026560413172508675,0.038088111905342455
1140.0,4.480530416593097e-09,-0.0014768352240323711,0.03423572106362251
1340.0,4.7228196987299576e-09,-0.003124533358958234,0.03475832365744698
1540.0,4.1521693597080935e-09,-0.0029599305875235224,0.0293608122480909
1740.0,4.1650357693011266e-09,-0.0013146609070755334,0.02712281212353997
1940.0,4.505779014470763e-09,-0.0010637596172707667,0.026268072628876496
2140.0,3.867771519275014e-09,-0.001278227642351643,0.02003239563055437
2340.0,6.616446057101066e-09,-0.001189747809316353,0.025723979785829073
2540.0,7.110922696797899e-09,-0.0014779856878603562,0.0211348422160812
2740.0,1.0146785583158817e-08,-0.0016847113004274333,0.02525883097681782
