ells,ksz_lt_cls
410,1.4967519669130116e-05
411,1.979981570751492e-05
412,1.6479319796320768e-05
413,2.1006747163647845e-05
414,1.8610722270277353e-05
415,1.8911434732079544e-05
416,2.054742729092359e-05
417,2.395633535877946e-05
418,1.727125369953619e-05
419,1.725897594152408e-05
420,1.861803801422094e-05
421,1.544614987632783e-05
422,1.944753979584382e-05
423,1.9614753627682736e-05
424,1.871668756005128e-05
425,1.407457488204871e-05
426,1.9896076463850883e-05
427,1.7861386046870534e-05
428,1.8143724041019654e-05
429,1.9334262266254878e-05
430,1.960603797968588e-05
431,1.2043183766689823e-05
432,1.946409201875394e-05
433,1.9811185656345614e-05
434,1.6045730797454374e-05
435,2.0148044825564814e-05
436,1.5535949947651993e-05
437,1.637344917625071e-05
438,1.53287376724186e-05
439,1.3715307118592209e-05
440,1.666960980662768e-05
441,1.5197242206816319e-05
442,1.88380979254726e-05
443,1.528733238356063e-05
444,1.3034518778176463e-05
445,2.0123550003329383e-05
446,1.8446968760696702e-05
447,1.7344559361192766e-05
448,1.6292924566109954e-05
449,1.556869641945133e-05
450,1.81655214358631e-05
451,1.937696548912883e-05
452,1.3112888612059143e-05
453,1.570327214436617e-05
454,1.6969456492141254e-05
455,2.2514533435460034e-05
456,1.2663705034132029e-05
457,1.66452032118731e-05
458,1.947268054136491e-05
459,1.5346522301508276e-05
460,1.7965482049690365e-05
461,1.762932870263988e-05
462,2.0462454911223164e-05
463,2.0520458365879117e-05
464,1.918338060505132e-05
465,2.3982713591308143e-05
466,1.684999182173354e-05
467,1.41236076090014e-05
468,1.199793097338206e-05
469,1.8750323250896985e-05
470,1.4260004554017e-05
471,2.08110415141564e-05
472,1.5495997094836154e-05
473,1.5987068315293822e-05
474,2.0578454579978276e-05
475,9.99960175837961e-06
476,1.3653471065685709e-05
477,1.8319703973721153e-05
478,2.1570635616776967e-05
479,1.7090006112245686e-05
480,1.564900472457694e-05
481,1.3650093396554479e-05
482,1.8909367244340483e-05
483,1.873122384251102e-05
484,1.8936579344123557e-05
485,1.9211280894583502e-05
486,1.4965308475451908e-05
487,1.6656622174125877e-05
488,1.9441609591256016e-05
489,1.5420200198931e-05
490,1.8765768589497145e-05
491,1.3841520978003717e-05
492,1.6656868846090744e-05
493,2.0856268894719958e-05
494,1.7455012340554317e-05
495,1.5731167309064863e-05
496,1.564245047228049e-05
497,1.6506339734796065e-05
498,1.538882382975409e-05
499,1.686472678745174e-05
500,1.4500644394448116e-05
501,2.0140782917829434e-05
502,1.526003971031939e-05
503,1.4082337503040736e-05
504,1.4322472374953251e-05
505,1.996364955546479e-05
506,1.6027364467024192e-05
507,1.942302690119084e-05
508,1.2834618619682277e-05
509,1.6837320041991777e-05
510,1.7512062959301395e-05
511,1.3954286152062829e-05
512,1.4036089098051319e-05
513,1.729650885664665e-05
514,1.4366725070056156e-05
515,1.139537318027342e-05
516,1.8318423087843903e-05
517,1.7463250324401163e-05
518,1.3660424181231098e-05
519,1.4631731059783307e-05
520,1.4040137839629602e-05
521,1.4887949302182307e-05
522,1.6628981765666414e-05
523,1.3707599194489842e-05
524,1.3679934388223332e-05
525,1.8270994903965717e-05
526,1.6787497989349675e-05
527,1.7022885947062586e-05
528,1.9659323592833304e-05
529,1.4121155084386777e-05
530,1.6701756114833117e-05
531,1.3353810696812833e-05
532,1.585098086807011e-05
533,1.592482477870563e-05
534,1.3729359537758063e-05
535,1.7813278046101856e-05
536,1.2550695524136008e-05
537,1.5453796921032924e-05
538,1.564554352334845e-05
539,1.4288711864599258e-05
540,1.4904715002038946e-05
541,1.4218500300766781e-05
542,1.4083388463805833e-05
543,1.5008407400550415e-05
544,1.519341204519674e-05
545,1.598936441520125e-05
546,1.4184733694396228e-05
547,1.679340596808476e-05
548,1.7803810106256104e-05
549,1.657465569999059e-05
550,1.3998631706682634e-05
551,1.8758899360957624e-05
552,1.504687606524783e-05
553,1.688700771644571e-05
554,1.647507517875922e-05
555,1.6341717024282977e-05
556,1.4934740866343263e-05
557,1.917702096421287e-05
558,1.5638618348212414e-05
559,1.549664143446267e-05
560,1.1648402969974854e-05
561,1.4346171747926696e-05
562,1.576923492498877e-05
563,1.4851370815534392e-05
564,1.5895377510215396e-05
565,1.5685680975650943e-05
566,1.5211133988436728e-05
567,1.6274734387071307e-05
568,1.6634516331233605e-05
569,1.722343203004566e-05
570,1.62942143065622e-05
571,1.6050826153901157e-05
572,1.3406806947395757e-05
573,1.4417025865362369e-05
574,1.3281382425501377e-05
575,1.5126313201686129e-05
576,1.609980768362828e-05
577,1.4150279615750257e-05
578,1.2996410305443271e-05
579,1.9149129636564337e-05
580,1.5807115187658107e-05
581,1.6015035073243665e-05
582,1.597424777551971e-05
583,1.6683769440768535e-05
584,1.488710142373293e-05
585,1.7597203161117897e-05
586,1.662466817117611e-05
587,1.44885653935462e-05
588,1.926756150945002e-05
589,1.710812138655372e-05
590,1.4245131042542602e-05
591,1.821629562991948e-05
592,1.5278084019580706e-05
593,1.5217884026399278e-05
594,1.825031321173284e-05
595,1.2863587138710406e-05
596,1.5805220542015262e-05
597,1.5149528291583089e-05
598,1.7469209955825314e-05
599,1.4444559283305451e-05
600,1.3766254783007372e-05
601,1.5667743153601263e-05
602,1.8784491308053243e-05
603,1.6653343429329864e-05
604,1.2766892550034935e-05
605,1.5929429262311216e-05
606,1.4183412096520902e-05
607,1.719655448911815e-05
608,1.520344711011411e-05
609,1.8253331219620178e-05
610,1.3167243160682407e-05
611,1.3703249292672045e-05
612,1.4928040429762448e-05
613,1.4552374358114297e-05
614,1.4603446912113354e-05
615,1.4620884430368085e-05
616,1.5796653765438357e-05
617,1.2497804376897835e-05
618,1.4333988400846373e-05
619,1.4130148688797889e-05
620,1.2448759343253781e-05
621,1.370624657797462e-05
622,1.2132195180746899e-05
623,1.74042523997846e-05
624,1.3076679940487794e-05
625,1.2671322669004959e-05
626,1.4050504738692446e-05
627,1.3866023783785336e-05
628,1.478558674200308e-05
629,1.3569846591489068e-05
630,1.36070975517575e-05
631,1.3527111745104522e-05
632,1.1581991198404362e-05
633,1.433274694935453e-05
634,1.145930053702092e-05
635,1.4371732383684645e-05
636,1.3754942684896558e-05
637,1.4341978763461955e-05
638,1.506837515053662e-05
639,1.3919666558968592e-05
640,1.5506155050360626e-05
641,1.26809781523106e-05
642,1.4648017228299846e-05
643,1.1893222299154293e-05
644,1.4521267496022319e-05
645,1.5778597976332354e-05
646,1.327554353981645e-05
647,1.659810765182594e-05
648,1.4739644197924451e-05
649,1.652405105656272e-05
650,1.4629790879088802e-05
651,1.2680991322612982e-05
652,1.0241352454462072e-05
653,1.3977086256587966e-05
654,1.187965370253456e-05
655,1.2805630695035335e-05
656,1.4665919859062155e-05
657,1.2737289129777478e-05
658,1.5250185808195064e-05
659,1.3130409576591882e-05
660,1.3553063139996214e-05
661,1.3489984553043355e-05
662,1.4123191761073753e-05
663,1.4274342900642237e-05
664,1.4609955366448285e-05
665,1.3542508069130162e-05
666,1.4402134932532975e-05
667,1.3363707601669327e-05
668,1.5910065120220514e-05
669,1.2456346725731956e-05
670,1.2479591137560169e-05
671,1.3078075055306331e-05
672,1.5079786837000634e-05
673,1.3993701297859445e-05
674,1.4384939358319148e-05
675,1.620822631642152e-05
676,1.3799276785483482e-05
677,1.566674629243044e-05
678,1.2804514256778806e-05
679,1.1473065960311643e-05
680,1.3350081802569566e-05
681,1.2195628352950839e-05
682,1.2918440580729476e-05
683,1.2634230009466968e-05
684,1.2414214881559627e-05
685,1.3507897369458333e-05
686,1.4644908360678526e-05
687,1.2963181449976427e-05
688,1.5952071632811844e-05
689,1.4585022923208965e-05
690,1.0988074662637857e-05
691,1.0940662702975372e-05
692,1.3516076662824911e-05
693,1.2260867434411351e-05
694,1.3473827467352887e-05
695,1.4094373359555142e-05
696,1.541368660590108e-05
697,1.2965454131113958e-05
698,1.1611123691801448e-05
699,1.4423161802323534e-05
700,1.0772988127093793e-05
701,1.4832379131649392e-05
702,1.2157496846119811e-05
703,1.3004021355264096e-05
704,1.5434363706649557e-05
705,1.2725374580907839e-05
706,1.3645392974840749e-05
707,1.3257668521013079e-05
708,1.4274910654200713e-05
709,1.2827597802259945e-05
710,1.4972787260583795e-05
711,1.535284831870447e-05
712,1.1900470572043318e-05
713,1.4319765949145077e-05
714,1.2150198008157373e-05
715,1.0440995921420692e-05
716,1.3365424904151052e-05
717,1.0977200251617658e-05
718,1.1979709053491187e-05
719,1.1440728206775629e-05
720,1.1411206405559392e-05
721,1.3291469511611607e-05
722,1.1502308381422941e-05
723,1.3581000436351816e-05
724,1.3116764110119461e-05
725,1.5299009329860398e-05
726,1.2930294436568122e-05
727,1.4159925641113335e-05
728,1.032168441262132e-05
729,1.2474994831547991e-05
730,1.225010655953095e-05
731,1.2070213893121876e-05
732,1.3446664994686402e-05
733,1.362284989452024e-05
734,1.4921871978799567e-05
735,1.1283788433729396e-05
736,1.548317959064874e-05
737,1.253985150149988e-05
738,1.1834516655152077e-05
739,1.3735325491041719e-05
740,1.2314497468986954e-05
741,1.29735205294075e-05
742,1.3192208670806405e-05
743,1.3117386363806157e-05
744,1.4129782402303083e-05
745,1.0880222310454023e-05
746,1.3899358520890427e-05
747,1.1158260356002085e-05
748,1.0183697630449036e-05
749,1.2451478945793564e-05
750,1.4064250861121424e-05
751,1.1607717488795337e-05
752,1.149256660193002e-05
753,1.420814162215426e-05
754,1.3260102163403695e-05
755,1.2157441002432535e-05
756,1.4176035384362445e-05
757,1.3047062091242779e-05
758,1.0909211362043172e-05
759,1.3302341324484527e-05
760,1.3362681334316074e-05
761,1.3781753357186368e-05
762,8.816236611213019e-06
763,1.3069230554904332e-05
764,1.0807586009183157e-05
765,1.248150598120287e-05
766,1.1896053596841642e-05
767,1.3449325869589513e-05
768,1.3192153241139005e-05
769,1.4901797437824795e-05
770,1.082429558537019e-05
771,1.0966041873820197e-05
772,1.0720632364141639e-05
773,1.228594755886858e-05
774,1.262540102564746e-05
775,1.2414506174425738e-05
776,1.2344048056512512e-05
777,1.1698591216985782e-05
778,1.1176752004365067e-05
779,1.3321725464539287e-05
780,1.2283191970943429e-05
781,1.2489991294139885e-05
782,1.2505195461010187e-05
783,1.0186927946505452e-05
784,1.4006881027696201e-05
785,1.330437899188637e-05
786,1.2676427287710099e-05
787,1.3156789192559748e-05
788,1.071631031252206e-05
789,1.4799799120813235e-05
790,9.34635533046336e-06
791,1.1556737931657753e-05
792,1.1875815618072622e-05
793,1.1416600921830266e-05
794,1.2485636348425103e-05
795,1.4323684071459434e-05
796,1.128321243905839e-05
797,1.0948155715244341e-05
798,1.1451553564453946e-05
799,1.0632571094356764e-05
800,1.1299658931867879e-05
801,1.1380527058344349e-05
802,1.1331627890454444e-05
803,1.0685300501621469e-05
804,1.0086765623120954e-05
805,1.3340254398531779e-05
806,1.052301101691723e-05
807,1.2025516749379954e-05
808,1.1406254770183666e-05
809,1.1523311580151672e-05
810,9.854906325471311e-06
811,1.3143804192383814e-05
812,1.2401231773582511e-05
813,1.1034417000307926e-05
814,1.0392432760551549e-05
815,1.1345420527229239e-05
816,1.2129322564578157e-05
817,1.1135602587784852e-05
818,1.256227803924294e-05
819,1.0239651402354615e-05
820,1.1872087549657508e-05
821,1.3688617615823723e-05
822,1.136260545608573e-05
823,1.2709117536089017e-05
824,8.997715390508002e-06
825,1.290749363491694e-05
826,1.1341292794366665e-05
827,1.0764683639142221e-05
828,1.0532825414093749e-05
829,1.2017243077546029e-05
830,9.766449414362212e-06
831,1.2591200926928775e-05
832,1.1952844123856655e-05
833,1.1175043088145448e-05
834,1.1657965996013813e-05
835,1.0603506884479609e-05
836,1.1935315669491574e-05
837,1.3754043965399981e-05
838,1.1459243991280064e-05
839,1.1934460499834328e-05
840,9.798643479239482e-06
841,1.3776139536873509e-05
842,1.1924077057103687e-05
843,1.0766428434331555e-05
844,1.103268788959693e-05
845,1.0094728629866397e-05
846,1.081941305657009e-05
847,1.138703895730306e-05
848,1.049255770499587e-05
849,1.2480087407908383e-05
850,1.1814898907663644e-05
851,1.2114605065189727e-05
852,1.1389584392833305e-05
853,1.0991549413847803e-05
854,1.0668737931911616e-05
855,1.108040701738161e-05
856,9.894561593377847e-06
857,1.2478723485176284e-05
858,8.530103867858035e-06
859,1.1642733544345318e-05
860,8.775471677873278e-06
861,1.1906750088106757e-05
862,1.1440109296735412e-05
863,1.114801599770277e-05
864,1.044216621530814e-05
865,1.0549412261712715e-05
866,1.0272488339908968e-05
867,1.2768704507245378e-05
868,9.478771866671859e-06
869,1.2280409412196115e-05
870,8.438975356863024e-06
871,1.109309748207554e-05
872,9.977823184966038e-06
873,1.2034957803421414e-05
874,1.1114354438320362e-05
875,1.080408427619004e-05
876,1.1540912587150963e-05
877,1.1795088602495556e-05
878,1.0136743787836215e-05
879,9.691207446194838e-06
880,1.0843652317396538e-05
881,1.2736467626003353e-05
882,1.070868420983919e-05
883,1.1065525677620006e-05
884,1.0955776832295374e-05
885,9.815012512989326e-06
886,9.776525182216081e-06
887,1.1587812993763969e-05
888,9.711080519035772e-06
889,1.2654652100910567e-05
890,1.0606308808034433e-05
891,9.239584864780688e-06
892,9.852218891569617e-06
893,9.675432788350264e-06
894,9.448139913434825e-06
895,1.160259571050378e-05
896,9.74418111222976e-06
897,1.1050616303248125e-05
898,1.0393823616360138e-05
899,9.57664932041776e-06
900,9.670947628127983e-06
901,1.0150685821012342e-05
902,1.0455528382426065e-05
903,1.1199371095703326e-05
904,1.101482112824107e-05
905,8.703903304304751e-06
906,1.0685616929764954e-05
907,9.52221368112922e-06
908,9.251452016062636e-06
909,1.009515283991368e-05
910,1.0586641785984918e-05
911,1.1796627068044558e-05
912,9.914796563076959e-06
913,1.0995152295619211e-05
914,7.904483674028444e-06
915,1.0349090047899688e-05
916,1.0505025969187101e-05
917,8.681591219544926e-06
918,1.0550507946680059e-05
919,8.980748432998418e-06
920,1.2063557509443426e-05
921,1.2284194347708545e-05
922,9.917052048964519e-06
923,9.058079159849086e-06
924,1.0126640551784967e-05
925,9.331313546500264e-06
926,8.50636217043307e-06
927,1.102911896104379e-05
928,8.62790179363526e-06
929,1.0776134221635979e-05
930,9.294007305784622e-06
931,9.594126563182738e-06
932,8.535039784209151e-06
933,8.928149109076902e-06
934,1.0729343296078962e-05
935,9.358081838461462e-06
936,9.364369690376878e-06
937,8.79092640344286e-06
938,8.412808456968726e-06
939,9.706495691719369e-06
940,8.486798649399848e-06
941,9.834542608895211e-06
942,9.059020480374164e-06
943,9.38681128468537e-06
944,8.801315332778756e-06
945,1.027668451018345e-05
946,9.158720317290472e-06
947,1.1317020518664443e-05
948,9.598176227890154e-06
949,1.0109775831188126e-05
950,1.2518494391689576e-05
951,1.0338690214931821e-05
952,1.0571511331821561e-05
953,8.331072786101848e-06
954,8.799331331396896e-06
955,1.0563114600983898e-05
956,1.0390220922210005e-05
957,8.392283932897266e-06
958,8.893662943217774e-06
959,9.658378422320416e-06
960,9.340240811852483e-06
961,1.224908666766302e-05
962,9.088702632112701e-06
963,1.1176604273829602e-05
964,9.41593316249206e-06
965,1.1035394595321277e-05
966,9.644091723132668e-06
967,1.0265091419218039e-05
968,1.0680817810733468e-05
969,9.695375113784047e-06
970,8.38481035918587e-06
971,9.902579726825094e-06
972,8.685659806859906e-06
973,9.437948087693443e-06
974,8.830233011563642e-06
975,8.770052149670342e-06
976,8.7268781850498e-06
977,8.562315585648746e-06
978,8.392061569813077e-06
979,9.220137610511053e-06
980,9.407317689317195e-06
981,1.0002798767503536e-05
982,8.297209039252883e-06
983,1.0130619044299111e-05
984,7.80154127717179e-06
985,9.782731411420626e-06
986,1.053219607754325e-05
987,9.188972627130463e-06
988,9.160785951771483e-06
989,9.978410082389234e-06
990,8.960855136526369e-06
991,1.043796610820875e-05
992,7.265732127352743e-06
993,1.0628617220660228e-05
994,9.208986806182664e-06
995,9.503439715305634e-06
996,1.0586541100022605e-05
997,1.0420730267220486e-05
998,1.0140652646999415e-05
999,7.605364290604404e-06
1000,9.264418827498155e-06
1001,1.0073306512438369e-05
1002,9.299644950861347e-06
1003,9.280102324693594e-06
1004,9.138579270108519e-06
1005,9.328287703926271e-06
1006,7.511444616248013e-06
1007,9.51696206352916e-06
1008,8.557033062549858e-06
1009,9.03977852685479e-06
1010,8.729143980169225e-06
1011,7.394086466125073e-06
1012,8.844913153980401e-06
1013,8.843890627968293e-06
1014,7.539512173256437e-06
1015,1.0160818882473238e-05
1016,8.584647628554106e-06
1017,8.478566098589232e-06
1018,8.988439438447959e-06
1019,1.014963536343383e-05
1020,7.707462153239063e-06
1021,9.924393406403401e-06
