Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,1.6372516965355945e-06,2.1467332760358713e-07,-0.025969172866089192,0.022973557490172956,1.2175531036606962e-07,1.0636724506540128e-07
330.0,2.879729849609776e-07,2.8491016191839885e-08,-0.06502059788790238,0.02510339566562208,5.1476872096311376e-08,5.052538495652331e-08
530.0,2.1658078711309067e-07,2.0628514988435347e-08,-0.06295173860571207,0.029332739420484165,2.724780845660668e-08,2.7441244910151625e-08
730.0,1.9051870902691772e-07,1.7951819965202563e-08,-0.08522732771797994,0.03991276612486073,1.6882500925889497e-08,1.7020658413418154e-08
930.0,1.6580290637866205e-07,1.5138234833434917e-08,-0.04157386958032191,0.05345951069719089,1.1583571155573435e-08,1.1563427021336829e-08
1130.0,1.4804644602434696e-07,1.3040791630073434e-08,0.00950830846626487,0.053289642823423376,8.469689602593212e-09,8.395734724358108e-09
1330.0,1.2920062759804228e-07,1.0727532514181673e-08,0.008812081250682662,0.039112708649333285,6.485980010562317e-09,6.436525244592098e-09
1530.0,1.1352841448464533e-07,8.78347817687954e-09,-0.043539835541425216,0.05581238509651821,5.194662167243877e-09,4.936297369034677e-09
1730.0,1.0179817573930764e-07,7.381017183186085e-09,-0.07497522804387918,0.04618012620608925,4.226829531194331e-09,4.003166567992337e-09
1930.0,9.253227593544913e-08,6.245901296529796e-09,-0.10182859757635067,0.04932385456779652,3.561810049816686e-09,3.4179254280705228e-09
2130.0,8.380508596166731e-08,5.028360612958612e-09,-0.0924573647978808,0.06500383217294456,3.024006557374932e-09,2.8968459626673586e-09
2330.0,7.895810596421447e-08,4.301529404613209e-09,0.010978622647145032,0.062294585116525206,2.6176351865120064e-09,2.4956777854696986e-09
2530.0,7.605784658119513e-08,3.700342554300194e-09,0.024142500201064954,0.06568497650787652,2.2872535652560728e-09,2.177229209086846e-09
2730.0,7.609560948350368e-08,3.1919810486797047e-09,0.01979641942333193,0.06980864785847543,2.0270554359769498e-09,1.912032371685301e-09
2930.0,7.887300516903194e-08,2.817484353920344e-09,0.025398458767773233,0.07955488906552809,1.8004699106921487e-09,1.642418118031256e-09
3130.0,8.554287429641044e-08,2.718513851135798e-09,-0.04067430262818077,0.07687574696493502,1.6209169698951066e-09,1.4841451100975556e-09
3330.0,1.0474621931088745e-07,3.3854504297618747e-09,-0.1028684439396041,0.09942980912868786,1.4653527487046237e-09,1.3941052937585554e-09
3530.0,1.2595695874859832e-07,4.099925625500183e-09,0.01578998572798291,0.12528858822549538,1.336837487948482e-09,1.2510207753291663e-09
3730.0,1.4144242034218248e-07,4.565002064801289e-09,-0.1899779111980364,0.20280772494959207,1.2178428186491755e-09,1.1197150716201103e-09
3930.0,1.335405916082267e-07,4.7797517180768675e-09,0.050592797844170846,0.16109754481538802,1.122539295941927e-09,9.00941785466449e-10
