Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise
140.0,7.943205293726039e-07,3.3288115623743105e-08,-0.004943582808197376,0.31310586895609327,1.0834312072254156e-10,4.935540654122889e-07
340.0,7.550893391648754e-07,2.1239667743143122e-08,-0.0020761431490924384,0.45966219598892233,2.4344296507936302e-11,6.946380833899181e-07
540.0,7.970853005969351e-07,2.563296109879162e-08,0.030198632725669288,1.0776477254649237,1.0528924272196449e-11,7.658914699780644e-07
740.0,8.790748620023783e-07,2.4747057259558114e-08,0.004630629533479158,1.7072423028720214,6.246315361218418e-12,8.531064773148462e-07
940.0,9.885324893001346e-07,2.3941719924095955e-08,0.002297826106644363,2.4033614119383913,4.382987754561981e-12,9.69118033985203e-07
1140.0,1.1458098254032093e-06,2.4632301071011515e-08,-0.004268523918994151,3.384190209025952,3.456363817267691e-12,1.1258811007220028e-06
1340.0,1.371380589281982e-06,3.2078444530040337e-08,0.030670378209454445,5.798803441215605,2.9816807542193767e-12,1.3413279723411618e-06
1540.0,1.6586356913346082e-06,3.558183098483821e-08,0.017612835146665215,8.102340242542354,2.7256634324187477e-12,1.6202363801437949e-06
1740.0,2.00058919241108e-06,5.4953938128479735e-08,0.17871172039144043,15.477981969343947,2.5662829322876865e-12,1.946362115072603e-06
1940.0,2.3500394533500485e-06,5.5207075631109155e-08,-0.021744191936914643,18.715751856473474,2.4350415335331073e-12,2.2952509847037462e-06
2140.0,2.7294517908141428e-06,7.648799220685987e-08,0.5862364757247581,30.81381001270704,2.3171913373473304e-12,2.6568533972642753e-06
2340.0,3.1759722013211106e-06,7.961793110234185e-08,0.5218709267225572,37.27471937571375,2.2540912787481683e-12,3.0904360041725248e-06
2540.0,3.7682029521949394e-06,1.0084472560727264e-07,0.2909467091996072,54.382134219795745,2.2742451718044175e-12,3.675565935911812e-06
2740.0,4.675082588770601e-06,1.3771866318146835e-07,1.6445084927042553,84.31257490824545,2.412867509160651e-12,4.539880059514618e-06
2940.0,6.034326454069937e-06,1.8099264940619019e-07,0.4848324499964743,125.47200599643456,2.7079037638121043e-12,5.8684889989216785e-06
3140.0,8.210995375314884e-06,2.6530284526142277e-07,4.185676596360381,206.99653501210702,3.212125025039627e-12,7.943102431242431e-06
3340.0,1.1636913396025861e-05,4.2270228686701655e-07,5.175683127881756,365.35004023360307,4.029916316430057e-12,1.1278839481515364e-05
3540.0,1.749113350763028e-05,6.646025265609515e-07,9.891041480461887,633.4165896278143,5.336087432968382e-12,1.67803333873186e-05
3740.0,2.7257191982093668e-05,1.1733706553168283e-06,18.83267781321768,1237.786477440231,7.433399613200673e-12,2.6093581866701772e-05
