Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,2.3826178952168213e-07,3.1680508690700757e-09,-0.04367047509559035,0.0016131969484130839,3.259402858460868e-07,-1.6413631565133344e-07
330.0,8.236701357792819e-08,7.823699306853667e-10,-0.03478308169552484,0.0004788215206514054,6.842487635426297e-08,-5.0611172217180456e-08
530.0,6.251670556504225e-08,6.238067535150931e-10,-0.02792284673734053,0.0010572949958313975,3.050015579262339e-08,-2.4787149841243394e-08
730.0,5.365624665037464e-08,5.386002820252718e-10,-0.03116580181718225,0.00205020697893296,1.743673187059856e-08,-1.4718380150265028e-08
930.0,4.8511795513575295e-08,5.120133659988432e-10,-0.014692708949353954,0.0039031077223865332,1.1519097295092455e-08,-9.949913665476969e-09
1130.0,4.4050278202332795e-08,3.9683087875264033e-10,-0.02768663698010645,0.004304821239146038,8.195135722480369e-09,-7.200784692008057e-09
1330.0,4.0368972834076215e-08,3.5793412340827056e-10,-0.045548744341708206,0.006090359467011542,6.120647071337707e-09,-5.4292865294147135e-09
1530.0,3.73092563005576e-08,3.016704260669019e-10,-0.04021961295674298,0.00660639716856724,4.763623553474237e-09,-4.308644571473352e-09
1730.0,3.464965973192189e-08,2.849819261191019e-10,-0.03485485861088155,0.008560360328415301,3.837428221315774e-09,-3.5141838600093486e-09
1930.0,3.226967321143055e-08,2.533531572765735e-10,-0.032214010802161894,0.009709093514641422,3.1616907487624322e-09,-2.9139386530360067e-09
2130.0,3.049156630980004e-08,2.077984285495526e-10,-0.03447826158842332,0.008943277101873908,2.6345826203920248e-09,-2.4599250345617594e-09
2330.0,2.917878949183707e-08,2.0164916721489283e-10,-0.03503915083686549,0.011158742997899332,2.2465289028439034e-09,-2.114962670686478e-09
2530.0,2.8473059160311582e-08,1.5615382025245274e-10,0.010514304415188969,0.008942395882066335,1.953733598716132e-09,-1.836245961678918e-09
2730.0,2.9158227268424865e-08,1.6142104398372846e-10,-0.054767589909838287,0.011721954693120297,1.7053852509232105e-09,-1.6312004939244422e-09
2930.0,3.0764818207905434e-08,1.678593791642898e-10,-0.054898486001971274,0.015349832301695012,1.5040041587695208e-09,-1.4592497817704361e-09
3130.0,3.379034917971239e-08,1.636339111521378e-10,-0.01091868359964113,0.01803324384771434,1.3317529478214418e-09,-1.301273750197472e-09
3330.0,4.2471292552949935e-08,2.0667833350941579e-10,-0.011130555189660671,0.03518692504201877,1.194516348338613e-09,-1.1734181330147454e-09
3530.0,5.327950506198774e-08,2.802017461262436e-10,-0.02203628296834724,0.07505262508901685,1.078628679411433e-09,-1.0736904284673564e-09
3730.0,6.165625636735179e-08,3.30982318024359e-10,-0.046830395588583526,0.12339715560131141,9.740215032374027e-10,-9.794272098600313e-10
3930.0,5.677357799908914e-08,2.9575430692047085e-10,0.013546326107149842,0.24037787674906025,8.834146613592178e-10,-7.452905077105627e-10
