Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,2.1330161914427553e-07,4.822642187035761e-09,-0.014424741517819702,0.022973098004911346,30,4000,30,15,1.0,200
340.0,7.939190557660516e-08,2.1993905330538336e-09,-0.014246670427290366,0.028709551950929252,30,4000,30,15,1.0,200
540.0,6.09011274888328e-08,1.3820280504914801e-09,-0.015016623212133805,0.02302264038982038,30,4000,30,15,1.0,200
740.0,5.242783030273282e-08,1.140811086849116e-09,-0.011826904098612609,0.021959299243520927,30,4000,30,15,1.0,200
940.0,4.7445727692688e-08,1.0996831722834994e-09,-0.002039265276077678,0.0226447631501298,30,4000,30,15,1.0,200
1140.0,4.3468687560245035e-08,9.485346705634011e-10,-0.005526375664138934,0.022309099931713955,30,4000,30,15,1.0,200
1340.0,4.005178310217224e-08,7.037349007626282e-10,-0.0037783424426200978,0.017529453029449242,30,4000,30,15,1.0,200
1540.0,3.745260503546056e-08,6.105089245624085e-10,-0.004839889212286533,0.016180313276516416,30,4000,30,15,1.0,200
1740.0,3.4755352458905426e-08,4.461090239575124e-10,-0.004229615322541753,0.01279834939385636,30,4000,30,15,1.0,200
1940.0,3.277608125308144e-08,4.309955560256285e-10,-0.005029736054530425,0.013036005203214568,30,4000,30,15,1.0,200
2140.0,3.141208290960511e-08,4.228108435978068e-10,-0.006813924802656396,0.01361739022968212,30,4000,30,15,1.0,200
2340.0,3.034942193490882e-08,3.5494990901865723e-10,-0.005203404446997018,0.011781633531574997,30,4000,30,15,1.0,200
2540.0,3.014074608518049e-08,4.809090314149492e-10,-0.0020127337162154486,0.015921199440769394,30,4000,30,15,1.0,200
2740.0,3.121986116658665e-08,4.261913627493539e-10,-0.005682908713950378,0.013742964820434104,30,4000,30,15,1.0,200
2940.0,3.3537991982988915e-08,5.766636797106879e-10,-0.002280825052234541,0.017175440456941825,30,4000,30,15,1.0,200
3140.0,3.765521211699973e-08,6.271512874781492e-10,-0.004115347725501147,0.016602458247994282,30,4000,30,15,1.0,200
3340.0,4.748547197580095e-08,9.131615483876241e-10,-0.0028237954398286683,0.019056030453631915,30,4000,30,15,1.0,200
3540.0,5.906696301328275e-08,9.284271821129327e-10,-0.002155586777779096,0.015675730157807162,30,4000,30,15,1.0,200
3740.0,6.73923281343041e-08,1.2233278877625046e-09,-0.0025423999437319766,0.018248318785000963,30,4000,30,15,1.0,200
