Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,2.4376596273806113e-07,7.164324594626226e-09,-0.005563648089411275,0.02919852911192046,30,3000,30,15,1.0,200
340.0,1.316346335805763e-07,3.1579530943644785e-09,0.0013797972974963597,0.023988167957820404,30,3000,30,15,1.0,200
540.0,1.1750609652765369e-07,2.499604969045352e-09,0.0010758065077246222,0.02101299361381786,30,3000,30,15,1.0,200
740.0,1.1394545699770066e-07,2.122646530394128e-09,-0.0018281387805677803,0.01843674242920128,30,3000,30,15,1.0,200
940.0,1.1410150164647724e-07,1.7522053930806622e-09,-0.0005374035751183415,0.015448042657600866,30,3000,30,15,1.0,200
1140.0,1.1699583875726894e-07,2.112791990469047e-09,-0.0023267722882093413,0.018092562080964884,30,3000,30,15,1.0,200
1340.0,1.2012177534850668e-07,1.4086289608681488e-09,-0.0037071995213421027,0.011676264338030939,30,3000,30,15,1.0,200
1540.0,1.243569480964811e-07,1.3743115668699624e-09,0.0009927448907956205,0.011016342524173283,30,3000,30,15,1.0,200
1740.0,1.360105164542734e-07,1.96541970373034e-09,-0.0015773689845580026,0.014655134650712717,30,3000,30,15,1.0,200
1940.0,1.509413917628201e-07,2.176992377912744e-09,-0.0010468046384349546,0.014454187655136909,30,3000,30,15,1.0,200
2140.0,1.720944081689324e-07,1.756536377661259e-09,-0.0015315469080722382,0.010233106195185263,30,3000,30,15,1.0,200
2340.0,2.2625864202851413e-07,5.329401508577617e-09,-0.0020363095836926737,0.023151192311965017,30,3000,30,15,1.0,200
2540.0,2.993794561831372e-07,5.548859644064114e-09,-0.0031389395252955977,0.01856621594504332,30,3000,30,15,1.0,200
2740.0,3.5903554293241815e-07,6.213055728265477e-09,-0.002766260488050669,0.017276673641103298,30,3000,30,15,1.0,200
