Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
140.0,7.78590885225305e-07,3.110828621617441e-08,-0.005739095157530643,0.2770963704758992,1.083450642155768e-10,4.935663171549204e-07,1.1325669470616186e-07,6.059537614246091e-09,9.593316206034593e-08,1.1087328922072685e-08
340.0,7.309644089499779e-07,2.83035625244976e-08,-0.005494180992274415,0.5735028360871807,2.434632016997107e-11,6.947021315264191e-07,4.913246043813247e-08,1.3547677431434114e-09,4.617270862380906e-08,4.279376082083982e-09
540.0,7.75905924664039e-07,2.3817556968506855e-08,-0.003687539918836583,0.9031911306485322,1.0531164310059912e-11,7.660645833563064e-07,2.6204792135125375e-08,6.80809382122519e-10,2.5108962881577513e-08,2.1341329015947828e-09
740.0,8.517697625408182e-07,1.510658387986895e-08,-0.008582742719872435,0.9225776657565371,6.249708269317881e-12,8.535865755751862e-07,1.6461946521459504e-08,2.921460144889093e-10,1.6068827847263745e-08,1.6831065574560236e-09
940.0,9.580857650583766e-07,2.6450172371958737e-08,-0.01950957429045576,2.325027444082576,4.389540316920903e-12,9.706227065255463e-07,1.1329905586064607e-08,1.8937495217943406e-10,1.134158174334957e-08,1.2595510395481366e-09
1140.0,1.0995851091948622e-06,2.885205927762587e-08,-0.04647555934926469,3.4421629417009805,3.468528516085502e-12,1.1299312814075192e-06,8.292721883187212e-09,1.3488205547728139e-10,7.861546597840522e-09,9.976862448333376e-10
1340.0,1.3156610789325642e-06,2.895692992506067e-08,0.0025709960686404187,4.519310782428051,3.0036567845232927e-12,1.3513624589257726e-06,6.38612452018398e-09,9.476685584627895e-11,6.071279543917715e-09,8.018210698687629e-10
1540.0,1.5893812770523618e-06,2.8654969377140322e-08,0.007115142920098479,5.583929048713796,2.7632731936313677e-12,1.6429242145360172e-06,5.104711380882024e-09,6.930852666160876e-11,4.986521236255201e-09,7.80069424596376e-10
1740.0,1.9248270369645736e-06,3.627472237512149e-08,-0.0649235436080257,8.689940557966874,2.625602389104785e-12,1.9916668846492114e-06,4.1789172275017e-09,5.026532134367088e-11,3.954322614729486e-09,8.423049788507683e-10
1940.0,2.2765820654015538e-06,3.926266186316837e-08,-0.05254019136194139,11.159397228111704,2.514934788690763e-12,2.3709217736750528e-06,3.5159213206294457e-09,4.372581004648228e-11,3.4025299096756663e-09,6.967989278899161e-10
2140.0,2.66567197122005e-06,4.616198011414544e-08,-0.10019491167670308,15.39362182022411,2.415105248444383e-12,2.7696766649714112e-06,2.993715701040167e-09,4.009068643501498e-11,2.7956645822562306e-09,6.781903060319372e-10
2340.0,3.1512819338884793e-06,5.905334127982635e-08,-0.1407821646736446,22.743799498038502,2.377119327585123e-12,3.2594332335774218e-06,2.5952669569270203e-09,3.011865098379043e-11,2.7992342623930588e-09,6.525554688064077e-10
2540.0,3.79231155089619e-06,6.750396009641929e-08,0.28686251727002027,29.468855790342268,2.4102555693725014e-12,3.895472998471892e-06,2.2845432611993388e-09,2.814455190898156e-11,2.0063734454817214e-09,7.843009743324002e-10
2740.0,4.716538409634629e-06,1.0854933813218501e-07,0.29531375541044785,53.66122989216653,2.5601803778484287e-12,4.8173853082600055e-06,2.0220942559503693e-09,1.7615715571881787e-11,1.895705926856275e-09,6.654898278000763e-10
