L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
60.0,1.9555188640834435e-07,1.6332058126218952e-07,4.590087643591498e-08,1.627456505379876e-07,4.5224639378757496e-08,-0.003155773776639542,0.02172100243740377
100.0,1.4833548529744332e-07,1.32075215647214e-07,3.121756880826183e-08,1.3178614803975324e-07,3.104962133730594e-08,-0.0020058449999976477,0.016567524061921624
140.0,1.2304174935362624e-07,1.1427211483366578e-07,2.1302524140389606e-08,1.1390048004281602e-07,2.1436124950349676e-08,-0.00344302499018463,0.013612754189925864
180.0,9.658808441324892e-08,8.45799598565439e-08,1.926985746192519e-08,8.43021740737135e-08,1.87488442373593e-08,-0.0018854887654838172,0.01805545645516389
220.0,8.264336541377801e-08,7.940337166957763e-08,1.6037380590144837e-08,7.943711940288785e-08,1.557428796545805e-08,0.001668677065113247,0.01597187416913041
260.0,6.622438313925293e-08,6.5656061214337e-08,1.315299836586405e-08,6.491751185699354e-08,1.3085726790480994e-08,-0.011618013061303174,0.019630577239306397
300.0,5.7000134168963416e-08,5.298614836041927e-08,9.64232684424459e-09,5.3267768450039136e-08,9.585358029446455e-09,0.005931923268416518,0.018595210840216567
340.0,5.0189169200891014e-08,4.99257573877902e-08,1.2460707402230608e-08,4.982328711209791e-08,1.2543519482144326e-08,-0.00255198613927901,0.015907407259272238
380.0,4.344765369768793e-08,4.195472028089381e-08,7.119557384113361e-09,4.177069295181585e-08,7.395484195250818e-09,-0.005326296601138719,0.019800944517862674
420.0,3.766381450238171e-08,3.6244874643825334e-08,8.298328243021868e-09,3.635393808632914e-08,8.385679856457759e-09,0.002485905318752863,0.014726094616740579
460.0,3.277825945271731e-08,3.050370653618127e-08,5.385152370542711e-09,3.0471003240848544e-08,5.360420773158079e-09,-0.0006674133609158457,0.021893858899359693
500.0,2.936953876562764e-08,2.960107085474335e-08,7.0355284585218425e-09,2.9590851426127617e-08,7.279676080900611e-09,-0.002038473356710534,0.022533420232556105
540.0,2.6154324026516295e-08,2.6859867500681196e-08,7.176935278150589e-09,2.694847046411494e-08,7.241899738633928e-09,0.0023442501119760716,0.02386208760650343
580.0,2.3348074227280124e-08,2.1825726993523446e-08,4.848861986628724e-09,2.185217625337177e-08,4.771715196249708e-09,0.0025576777719202737,0.02196705956997202
620.0,2.138442819823326e-08,1.971703292086354e-08,3.9026743587583636e-09,1.9800425242070828e-08,3.938555613973945e-09,0.00418361620038986,0.02467550063425299
660.0,1.9561227527778697e-08,1.999669629566287e-08,5.216256969829814e-09,2.0026045185759488e-08,5.306561976120922e-09,-0.0002554587810513072,0.021177870942740838
700.0,1.789999757570735e-08,1.7225754544418535e-08,4.028966313651575e-09,1.716026168008091e-08,4.141455558085476e-09,-0.005495486699402124,0.02734332851836298
740.0,1.6302615176138037e-08,1.6144888460687896e-08,4.648570465190338e-09,1.6153048520214818e-08,4.651356174688141e-09,0.0008553093223799345,0.01978777756863662
780.0,1.5102968454331287e-08,1.5728700726123476e-08,5.298085557619413e-09,1.5716766182124898e-08,5.247160212761538e-09,-0.0009972167270021327,0.02337357427903266
820.0,1.3777840144087223e-08,1.2614724800539882e-08,3.741699960094208e-09,1.2682603257361617e-08,3.730520912187408e-09,0.006759504692098844,0.02789465587088126
860.0,1.2956918694767011e-08,1.1906086782698479e-08,3.7113964832496794e-09,1.1848019232360947e-08,3.618613437880366e-09,-0.0035622602117484966,0.02728572632188314
900.0,1.1975078013599233e-08,1.1510832845874473e-08,2.3038726848667235e-09,1.1484119339760706e-08,2.239816536571813e-09,-0.0005815687872859387,0.03492727848360252
940.0,1.1277113534391535e-08,1.0181067069952e-08,3.1561517024045018e-09,1.0312158426490918e-08,3.2196246092606794e-09,0.013916996328509929,0.02855149181240281
980.0,1.0569426257325524e-08,9.839300395633879e-09,3.1465977612216467e-09,9.868479297537685e-09,3.0816594341555594e-09,0.007257898466930389,0.0379590315972769
1020.0,9.865366411099416e-09,9.627244000800695e-09,4.052549250100616e-09,9.558599733043565e-09,3.956677865525079e-09,-0.001092386655688926,0.03493240206885964
1060.0,9.375660903609502e-09,9.212101678431073e-09,2.8069063680263503e-09,9.146417008073405e-09,2.8445723331067043e-09,-0.010126637039985903,0.040738897071475724
1100.0,8.766668599120673e-09,7.467313366049704e-09,2.4135767285986245e-09,7.4500940252490115e-09,2.41701868191399e-09,-0.003463714095633218,0.039882174921590595
1140.0,8.309032730950781e-09,7.515862705471077e-09,3.1885982845063573e-09,7.558136921694533e-09,3.2027731125007623e-09,0.009486899286225743,0.04031096229553219
1180.0,7.860160906955997e-09,7.068120007150059e-09,3.381036923760195e-09,7.016037384059958e-09,3.4521842306531666e-09,-0.041783144502525287,0.16589256898903754
1220.0,7.3805102240124264e-09,6.8015814680769835e-09,2.836755162557884e-09,6.76293581376428e-09,2.8417217765610554e-09,-0.0051434796903076715,0.046490171491425154
1260.0,6.975480937794499e-09,6.117055851077344e-09,2.7746128970605362e-09,6.155366215005009e-09,2.736761389113945e-09,0.01164334177959712,0.048145952669254685
1300.0,6.7433616972430234e-09,6.6604108536086565e-09,2.7893418098336827e-09,6.6883150796979136e-09,2.7402349377614952e-09,0.013615210567535169,0.0509175678904372
1340.0,6.385873743861787e-09,6.595908013339329e-09,3.009718385352098e-09,6.618031834874054e-09,3.0534785388402462e-09,0.006088368351831065,0.037578095485550314
1380.0,6.0103100238481184e-09,6.132524319658392e-09,3.290571591795839e-09,6.0978561497616445e-09,3.287495667155267e-09,0.006186681992998448,0.06182237082737844
1420.0,5.794082289305183e-09,5.482696661916203e-09,3.3127099740141726e-09,5.454297008225036e-09,3.239439646022912e-09,-0.016288879325837485,0.1838072088311836
1460.0,5.601959808278747e-09,5.5874821157213845e-09,3.084920199853939e-09,5.580084088987135e-09,3.0771785007830524e-09,-0.01689716784962493,0.07943156787603566
1500.0,5.306480341312951e-09,6.443554979923176e-09,2.6290198775049528e-09,6.41043891082652e-09,2.621024015781568e-09,-0.015571893242341274,0.05028251578625487
1540.0,5.086761352368109e-09,5.58224938304874e-09,2.2420680117243448e-09,5.554087496188393e-09,2.26753880363739e-09,0.007757349213633615,0.11899884461818754
1580.0,4.799512387022483e-09,4.692045451838046e-09,2.7156484464825556e-09,4.712342202080905e-09,2.64755905076306e-09,0.026731517536310086,0.09579645609720001
1620.0,4.7369984516045e-09,5.625798721858447e-09,2.688539353391359e-09,5.5593577710443915e-09,2.659085813540935e-09,-0.0202173020908148,0.13255259313981288
1660.0,4.496451048637245e-09,4.365773990513443e-09,2.5110757148147914e-09,4.325077473988397e-09,2.548865895527894e-09,-0.009785353245722066,0.06715301301351807
1700.0,4.343563001463143e-09,4.1716310544363854e-09,2.6837121803434754e-09,4.215452163404439e-09,2.621253270603616e-09,0.000990368907691506,0.18962613536946143
1740.0,4.212251550432025e-09,4.284965714574748e-09,2.170538820837976e-09,4.383427374334807e-09,2.203103362527387e-09,0.016091665126653224,0.06425794758705343
1780.0,4.008197991740489e-09,3.729380651583714e-09,2.4225898347840283e-09,3.7149325946010957e-09,2.5394844563747288e-09,-0.16990331799463976,0.754127783646504
1820.0,3.904226721206482e-09,4.150340343136762e-09,2.810667558415054e-09,4.237610845197025e-09,2.809969135293743e-09,0.053953639844632105,0.32676443306735303
1860.0,3.735826905452725e-09,4.318974560055524e-09,1.858552303167611e-09,4.312717934124411e-09,1.9583600127485583e-09,-0.01974929568534669,0.07795180496861566
1900.0,3.639899619343474e-09,3.26426713588479e-09,2.6882028533000945e-09,3.2036584736828175e-09,2.6652700225902544e-09,0.23449241545133406,0.7493329143398617
1940.0,3.513653250999939e-09,3.4010414267960594e-09,2.045054796918268e-09,3.3625648036507582e-09,2.0255208680299025e-09,0.01759650341298186,0.13238535974965043
1980.0,3.383521956638791e-09,3.281174769162205e-09,2.3581600063429124e-09,3.247598833963108e-09,2.3071230821958153e-09,0.01994090207631062,0.16946254193820318
2020.0,3.2668912973047797e-09,3.167400143851401e-09,2.0039586810846605e-09,3.1617322977206293e-09,2.0034769786159804e-09,-0.0029812331417364926,0.1532675538392038
2060.0,3.1861133632940217e-09,3.3205702611429487e-09,1.5746985106553381e-09,3.3140180330992586e-09,1.5052029236502814e-09,0.013091856920265814,0.08130167548498439
2100.0,3.073597905276897e-09,2.8813630051052936e-09,1.8566604238602525e-09,2.899190445762506e-09,1.7727430294881424e-09,-0.014298642736047968,0.170482312679853
2140.0,2.9932311465283697e-09,2.5948911450430167e-09,1.7922504193606186e-09,2.533760777204886e-09,1.738189435397553e-09,0.34477753037899256,1.7878894684644056
2180.0,2.917663433576494e-09,2.574608059478403e-09,1.689794630557633e-09,2.5760587070889344e-09,1.6732678043932589e-09,-4.666374645793996,23.257384271246032
2220.0,2.83803760946429e-09,1.9014470174173356e-09,1.7110894865392332e-09,1.893632602575734e-09,1.7042739430303134e-09,-0.08619471403279098,0.6265491530635532
2260.0,2.7360942982037727e-09,2.2893409811223506e-09,2.4672811784132435e-09,2.2995618316664554e-09,2.500907853224753e-09,0.02778140223544563,0.14508214387896326
2300.0,2.6541251601059364e-09,2.6364570614559015e-09,2.514775147839182e-09,2.589886018912322e-09,2.551517485687247e-09,1.0466231347594392,5.091115511269088
2340.0,2.5998774184581982e-09,3.1404920059834163e-09,2.2072032309641614e-09,3.196136880802412e-09,2.171194658619842e-09,-0.024001778442341377,0.33788950293889036
2380.0,2.5343071542752644e-09,2.7683317117659616e-09,2.1800260311970704e-09,2.782336821685835e-09,2.264031911039484e-09,-0.10931909090715403,0.6447623818963591
2420.0,2.4530935728847707e-09,1.8855845741116885e-09,1.8905241049913702e-09,1.936216321239887e-09,1.8449043052755737e-09,0.08255164029270369,0.4567718644479218
2460.0,2.394091794698627e-09,2.964518528394959e-09,1.6950994726378134e-09,3.0109560049109635e-09,1.6691743466206852e-09,0.04713891767073544,0.210004377920461
2500.0,2.353422747553158e-09,2.285440391335132e-09,2.8537185468032512e-09,2.2650039913643593e-09,2.8509661998212754e-09,-0.07952739628811893,0.41381808193203745
2540.0,2.2868955448405596e-09,2.1760632450597207e-09,2.3654628785222177e-09,2.1596432433084546e-09,2.4058254018845006e-09,-0.11973262541855599,0.8264606289095293
2580.0,2.236736097946141e-09,1.4026906495118096e-09,2.101162585676687e-09,1.427708158402294e-09,2.1117695416954916e-09,-0.1353856252505215,0.7281312171331796
2620.0,2.1750473096143974e-09,1.8804899882583726e-09,2.8379264769377294e-09,1.9365924809507255e-09,2.8805295445820832e-09,0.01320101318195463,0.11065714483438789
2660.0,2.127575126992249e-09,1.414708588871291e-09,2.2456625741872023e-09,1.408186933035539e-09,2.3033804970381935e-09,0.059638049750804445,0.2376918277641317
2700.0,2.0584573695263643e-09,2.758023459445961e-09,2.230959522646902e-09,2.777501599025338e-09,2.239605825013552e-09,0.012175443076534356,0.1725904776021858
2740.0,2.029498496311344e-09,1.3871187587713778e-09,2.0025030953317092e-09,1.4991357171414545e-09,1.9464134444096495e-09,0.07533132671866535,1.144875621300575
2780.0,1.979156406128934e-09,2.0447617161372073e-09,3.1063124790685935e-09,2.055587034704604e-09,3.086516207499066e-09,-0.014053429122228048,0.2954223968524278
2820.0,1.933592279070031e-09,2.110097094700072e-09,2.8531499517250655e-09,2.213793845170162e-09,2.862157329891837e-09,0.005011752103851463,0.2524058759127782
2860.0,1.8804610716355445e-09,1.9570579399932703e-09,2.9325279496765204e-09,2.0048950407403806e-09,2.9787136835521028e-09,-0.04775964310644614,0.3053788590083715
2900.0,1.8380934908315074e-09,2.1604913659757402e-09,2.1289301872346072e-09,2.189884433507074e-09,2.1324118269915186e-09,-0.010882057263890665,0.13477499194085243
2940.0,1.8055255220672614e-09,1.574806933872565e-09,1.9596030258602876e-09,1.5599051857722519e-09,2.066560520161602e-09,0.17459187427954304,0.9409168517014688
2980.0,1.7656743318472122e-09,1.1684705950306756e-09,3.6798037880241846e-09,1.1090395089203961e-09,3.610925249963773e-09,-0.0426881899975429,0.20526276777893143
3020.0,1.7325934628487106e-09,8.809149236086553e-10,2.6846086416332342e-09,7.839255525431663e-10,2.7445887386496927e-09,0.14819966654972658,0.5824449036413906
3060.0,1.6971927954143273e-09,1.5231228339283616e-09,2.613497703802649e-09,1.5041719726257768e-09,2.73599951804932e-09,-0.11243549590211553,0.8178055606922798
3100.0,1.6704840882022907e-09,8.054698486764754e-10,3.2070903603613843e-09,7.720575020400876e-10,3.2112163930092316e-09,0.8701210380815511,4.102760782702111
3140.0,1.6283559741339834e-09,2.1369574308154164e-09,4.092422114512928e-09,2.2065145596043427e-09,4.117950767845434e-09,0.05274440065024486,0.2062018265419292
3180.0,1.5940058390952016e-09,1.1831533439818433e-09,3.79968985332726e-09,1.3224027563034061e-09,3.890646455939849e-09,0.026726454290530288,0.3060093040690047
3220.0,1.5794711620182993e-09,2.006636976076209e-09,3.563287791684432e-09,1.9257292917526837e-09,3.589646843439397e-09,-0.07547601526947978,0.6101914717415756
3260.0,1.5386139592839838e-09,1.7748894889873794e-09,3.9806509941953715e-09,1.7930639613662032e-09,3.953718775161089e-09,0.6392021353724482,3.8122815881535304
3300.0,1.5098702420836133e-09,1.9179530487785468e-09,4.977276205538087e-09,1.8371820159753546e-09,4.99474669626057e-09,-0.053456495538401594,0.24734984191086581
3340.0,1.4904867993766864e-09,2.1655557611850945e-09,5.7655234930477956e-09,2.0500600396081125e-09,5.745918950623161e-09,0.0029291843758935195,0.08466079001266764
3380.0,1.4592369197434691e-09,-1.0124089942904534e-09,4.901109894828198e-09,-8.397792946589183e-10,4.7138273205916005e-09,-0.313091424044572,1.2286745209645746
3420.0,1.4246973504155537e-09,3.217091735220059e-09,5.05280685072142e-09,3.352711221420058e-09,5.135929669714453e-09,0.6271660359946561,3.3806220493246317
3460.0,1.403236754621499e-09,1.3962821201446017e-09,5.510594546087014e-09,1.4737067045100169e-09,5.488187377981624e-09,-0.19217985275976604,0.6515516674471221
3500.0,1.381641432027528e-09,1.6349628286608255e-09,6.942602226368484e-09,1.5083693235723084e-09,6.9133037131890975e-09,0.14299472181870315,0.6891941789834931
3540.0,1.3477448030664582e-09,1.6023842586000702e-09,9.423895155771698e-09,1.951055660842204e-09,9.296235037421118e-09,-0.07989402195665112,2.1791751081185566
3580.0,1.3229650445982934e-09,2.017547736059969e-09,9.384934000748454e-09,2.1848174071908683e-09,9.431323001832328e-09,0.07905655544443273,0.4023938823657503
3620.0,1.30619334235931e-09,-1.9268548090490574e-09,6.414904895122878e-09,-2.1570983135351045e-09,6.663591827786432e-09,-0.0013648262342469575,0.21856753372944832
3660.0,1.2748475963783889e-09,1.4911705084167063e-09,7.956864712007451e-09,1.7121240350506168e-09,7.866734367123786e-09,-1.1046734675920118,4.055756172065449
3700.0,1.2677703433678635e-09,4.385231869441525e-09,1.1402595511265515e-08,4.346677800781467e-09,1.1315509146254836e-08,-1.0291983312295183,5.088705618108061
3740.0,1.2420623398270395e-09,6.3103602859370054e-09,1.3560309257383656e-08,6.2550012299687155e-09,1.3554047259776474e-08,0.011332018306210721,0.36251034322860226
3780.0,1.2185669959873646e-09,-6.380725782731416e-09,1.4777037530033e-08,-6.297092300361707e-09,1.4686514990439429e-08,-0.07383048815393482,0.18849102172767643
3820.0,1.21178183822473e-09,-3.3556150262016652e-09,1.6056453526667528e-08,-3.401477616731948e-09,1.6128662659414633e-08,0.0421596843608917,0.18795779567670198
3860.0,1.1888819009631639e-09,1.5834145115067193e-09,1.167648195490707e-08,1.2644100624269624e-09,1.1525630282563161e-08,-0.09530689121140096,0.25897360085494825
3900.0,1.1694792495727508e-09,-7.355555839641617e-10,1.9825778289481203e-08,-5.275738631365158e-10,1.978879101197886e-08,-0.009795697362277632,0.2264247700501124
3940.0,1.151900061698624e-09,6.385675803500974e-09,2.557466126083403e-08,6.695068991748153e-09,2.5177184036508645e-08,0.06072809565057489,0.27432167172314165
