Ls,cl_kappa_tg_ave,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,3.829658236654017e-07,3.816588611115153e-07,4.367311269191882e-09,-0.025437533296294564,0.033844307210611956,3.2190086742433405e-11,7.324649429643822e-08,1.3270818822985467e-07,2.3302170823948397e-09,1.1596214732448073e-07,1.8082933813329403e-09
255.0,1.5809075233202628e-07,1.5782803130401128e-07,1.1561210506467937e-09,-0.004551451259654293,0.018354087645041914,5.5121795933324915e-12,8.831558027917549e-08,6.429182167117839e-08,4.817330560564828e-10,5.904824533343347e-08,6.640255490700173e-10
405.0,1.4238206013448362e-07,1.4239767529837203e-07,1.2057435882039554e-09,0.0005266835148742798,0.0326764293701097,2.4013510458677036e-12,9.773826078354393e-08,3.6959879823397663e-08,1.509135010313652e-10,3.468743753721581e-08,3.0490180849596236e-10
555.0,1.330635155458244e-07,1.329206854301581e-07,9.142775520753021e-10,-0.00443726347175699,0.04054483525697291,1.3374775706235042e-12,1.0270473575063035e-07,2.2470867100905e-08,9.528105972325874e-11,2.15072610114853e-08,1.9633178126168197e-10
705.0,1.3242621982703042e-07,1.3212811438537336e-07,1.1079747315807564e-09,-0.014269570306940751,0.07066302368032255,8.715135275947238e-13,1.0790991116391742e-07,1.5669568274442237e-08,5.54527718522391e-11,1.503264620935747e-08,1.229354759381823e-10
855.0,1.287743028561286e-07,1.2861178045608474e-07,8.971325406793738e-10,-0.01194010847267513,0.07679097988330563,6.070979442420756e-13,1.107712261755122e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1060910700575081e-08,9.8952508912047e-11
1005.0,1.3219932220369372e-07,1.3223720832710274e-07,8.633581381087406e-10,0.006711936486124244,0.09638595787731662,4.616569305946992e-13,1.1647449332633324e-07,8.96003803506103e-09,2.9036003209461267e-11,8.620129150513207e-09,8.002722865478896e-11
1155.0,1.334846809779623e-07,1.333361920586871e-07,8.259212882228989e-10,-0.019883561327383545,0.11589889199147006,3.6130528419272204e-13,1.2036488061569787e-07,7.098489167451144e-09,2.163050117394961e-11,6.909707552776202e-09,7.512240952109853e-11
1305.0,1.3680396655319742e-07,1.3663564189350223e-07,7.535474900048593e-10,-0.03143726333128433,0.13022206848623738,2.954132841695553e-13,1.2570860733419408e-07,5.797402805876474e-09,1.2397067804798468e-11,5.558795848364645e-09,3.804261645662389e-11
1455.0,1.3875008539473637e-07,1.3860340076840572e-07,7.594385987012516e-10,-0.02717441731466024,0.1585060497447114,2.4376797592671635e-13,1.2899248484200449e-07,4.790399165416379e-09,1.1135651023271988e-11,4.715021978697556e-09,5.2715841292227985e-11
1605.0,1.4618053083644283e-07,1.4585664724877614e-07,6.79705592540341e-10,-0.06941622853410939,0.1663287086440487,2.1413636457600625e-13,1.379637770077408e-07,4.0630121849438706e-09,1.2229415339986948e-11,3.9700997875952824e-09,3.9848926534632644e-11
1755.0,1.5628764697728413e-07,1.561932512460652e-07,7.288210392256962e-10,-0.023088009710392557,0.2075717947728163,1.918256939175245e-13,1.4774360124745783e-07,3.5062442961520685e-09,1.0955516977706286e-11,3.431420101896011e-09,4.1580860893615454e-11
1905.0,1.697497222386997e-07,1.6977914398635308e-07,7.530570832139094e-10,0.013103579173637822,0.24762233031290956,1.7789751815523867e-13,1.6153199045609178e-07,3.037889472905199e-09,5.499081796744418e-12,2.956210340493509e-09,3.9271191320104214e-11
2055.0,1.8238528056034235e-07,1.8257283042959607e-07,6.261355976905589e-10,0.08302455780532308,0.23508101726050637,1.6581387215551216e-13,1.7513134950886487e-07,2.6652663884733688e-09,6.960036210575723e-12,2.6123074289753734e-09,3.812152460361382e-11
2205.0,2.122409263520173e-07,2.1240762923169518e-07,8.088983346253906e-10,0.0875183123565281,0.34726273263698265,1.6893292358334318e-13,2.0577788027854098e-07,2.337858401040204e-09,7.224306285743636e-12,2.3433375023508894e-09,3.77597326352643e-11
2355.0,2.650044861161839e-07,2.6510788328489945e-07,1.1843612541522904e-09,0.05764307908205898,0.56236155320052,1.8372975273151888e-13,2.55220515745441e-07,2.1045536599934474e-09,6.504366544999873e-12,2.0767131681457587e-09,3.364251689202931e-11
2505.0,3.2520115942322885e-07,3.25202231974962e-07,1.349662803219533e-09,0.02287325784661176,0.7112962282988411,1.9958288217001383e-13,3.1367446194126696e-07,1.8950419822759997e-09,5.985049207269469e-12,1.8707385241300017e-09,3.175382073250477e-11
2655.0,3.7341799864553107e-07,3.738415575158848e-07,1.54051215119623e-09,0.2688981732449671,0.8941848388191299,2.0314045127601184e-13,3.5816899108171843e-07,1.7167690382791032e-09,4.098736100983719e-12,1.6782494513409035e-09,3.579503125059962e-11
2805.0,4.330445203721382e-07,4.3313511256446866e-07,1.8377432366712921e-09,0.0915335823943083,1.178202847522894,2.1478859067563253e-13,4.231005897477882e-07,1.5580177136353249e-09,5.1413986251009846e-12,1.4882184081188736e-09,4.147934714495124e-11
