Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise
140.0,2.775353797342524e-07,1.4000606350811046e-08,-0.01191429598168178,0.1305652274999328,1.8351391658955442e-11,7.770974000153903e-08
340.0,1.4771711698428632e-07,5.461582859909924e-09,0.0033745776803607535,0.11789493954050885,3.3301982406753605e-12,9.488404022777757e-08
540.0,1.33381274958627e-07,5.392194093792261e-09,0.0025271511085666384,0.22703978971327804,1.4112645633720679e-12,1.0229838179909743e-07
740.0,1.3109699239948395e-07,6.3094934642456935e-09,0.000205434848132954,0.4329152997431592,7.963393203746561e-13,1.0847032831697096e-07
940.0,1.303381227629785e-07,5.340442191155053e-09,-0.005059487873752035,0.5350760647043472,5.171676520264525e-13,1.1404691666006213e-07
1140.0,1.3312205629217196e-07,4.499008949739274e-09,-0.005354053797891913,0.616904495537232,3.7005251959142006e-13,1.2010247731428716e-07
1340.0,1.3704955865978394e-07,4.560713910423402e-09,-0.04253446432073037,0.8245956259455672,2.82071019762401e-13,1.2646761240397054e-07
1540.0,1.4211662037193066e-07,4.171704077220802e-09,-0.029119483510788288,0.9513353094943763,2.2512611718241507e-13,1.335182437184139e-07
1740.0,1.5574298683836655e-07,4.354026137516407e-09,-0.021351000784457078,1.2218074514499853,1.9408585552094103e-13,1.4697283871374675e-07
1940.0,1.7279032572115857e-07,4.530246164906667e-09,-0.0026502296570020986,1.5381206606103306,1.750014422713422e-13,1.6484310790241832e-07
2140.0,1.9611638962718964e-07,4.100087371230422e-09,-0.039485660835711256,1.6523997699829898,1.652904705461265e-13,1.897584968575002e-07
2340.0,2.599026032382825e-07,6.702465851063622e-09,0.021146113875435364,3.1491368105332107,1.824006262401937e-13,2.5047686238561133e-07
2540.0,3.3940432765316194e-07,7.551551836566991e-09,-0.1256174402989829,4.077472687080575,2.015920176340434e-13,3.2593291311322e-07
2740.0,4.033047148524562e-07,9.858585927793776e-09,-0.2316520496794529,6.085166680522689,2.0784535523509908e-13,3.91135736468241e-07
