L,kszkap_x_cmbkap,kszkap_x_cmbkap_err,kszgkap_x_cmbkap,termB_bias,termB_bias_err
60.0,0.0065646238343926655,0.0006748384833171986,0.0006781922409421221,0.0004767199223897007,0.0033038071218049678
100.0,0.003965720674438876,0.00035161350224773594,0.00035308357381038714,-0.0001858623235440534,0.002930759086677551
140.0,0.0025017747740238463,0.0002658821813343807,0.00026593353434075387,0.0006876760229678995,0.0019122991397981365
180.0,0.0020349255439319268,0.00021339032268212108,0.00021356161971992037,-0.001076118111400868,0.0027880857288797
220.0,0.0017011014568103827,0.00013789779175758395,0.00013838764593431758,-0.0014445624062700366,0.002287620435546084
260.0,0.0015240463964895973,0.00010926869478716195,0.00010901338722844229,-0.0005354408598324977,0.0020017665500511217
300.0,0.0013871300984907358,9.3835096728072e-05,9.368974142457412e-05,0.00022366107226310042,0.002676781586856587
340.0,0.0012127465603753718,8.906931791528704e-05,8.915102771753062e-05,-0.00046579995742551645,0.0021700131297937293
380.0,0.0010248189718740448,5.977470650345566e-05,5.987454220098748e-05,0.0002554919299344195,0.0026947763272659867
420.0,0.0008594364241176424,4.7614602766149624e-05,4.7643887443228784e-05,0.00020542435551737777,0.0023441704955870996
460.0,0.0007368703166347527,4.003813226795909e-05,3.9941497409238584e-05,-0.0009531166796791272,0.0018067129793608381
500.0,0.000642483993824096,3.339894484926393e-05,3.3149687134721766e-05,7.881759732473679e-05,0.0028141279145783493
540.0,0.0005639184908779647,2.8485618238702202e-05,2.873741642351998e-05,0.00039461198551859615,0.0025930030932944316
580.0,0.0005101919401497203,2.2069383239077885e-05,2.2056710718079746e-05,-0.0003316559024373259,0.0022814067214034224
620.0,0.0004417985917794995,2.177338903161737e-05,2.1953717623605462e-05,-5.72541589488257e-05,0.001622393406068194
660.0,0.0003866152421357586,1.6449969700027654e-05,1.6490401264850543e-05,-0.0005508827532900414,0.0023448301992091583
700.0,0.00033842627976686046,1.402740419832241e-05,1.3910795213142543e-05,0.0002419291711978791,0.0022077321236334234
740.0,0.00029258364696285066,1.45422598073284e-05,1.4526522791514595e-05,-0.0001181369250283575,0.001785691725384136
780.0,0.0002551756910572866,1.2496845809729706e-05,1.2521002116282143e-05,-0.0008370583735223545,0.0019377277808435378
820.0,0.00022396646275494323,9.548197302431302e-06,9.668162009854474e-06,-0.0004705591726681987,0.0026628955108942286
860.0,0.00019713355589600119,9.105889366709029e-06,9.10913023573181e-06,-0.00040888490796746113,0.0023822522100178274
900.0,0.00017905375023798673,6.043337616543678e-06,5.9728330475927926e-06,0.0003579587460304778,0.0025001002164131776
940.0,0.00015951606643261297,6.846367972584464e-06,6.924749503080156e-06,0.0005079189905963496,0.0027982223675675896
980.0,0.00014499526992671588,6.5865830234803334e-06,6.619481022939158e-06,-0.0005801872014597069,0.0033101471536232233
1020.0,0.00013170629098324197,4.895919679937243e-06,4.832634845423446e-06,8.058734378010044e-05,0.003004772024092214
1060.0,0.00011779795002304985,5.206901215282144e-06,5.2630694125495965e-06,-0.0007219007553502005,0.0025845106842146627
1100.0,0.00010429687297444937,3.1936590102558207e-06,3.20882399870649e-06,0.00013590926376648305,0.0022998685085648357
1140.0,9.713669834533532e-05,3.987569167162034e-06,3.957896146314068e-06,-0.00030195575163779754,0.0035405372720619813
1180.0,8.801150698305655e-05,3.6122104424849724e-06,3.5814310820066653e-06,-0.00019351049965920142,0.0025655364654300346
1220.0,8.13755802295592e-05,1.9708644177418467e-06,1.9866508505254253e-06,-0.0009744862398268394,0.002791040022828459
1260.0,7.698566340835876e-05,2.811396328674505e-06,2.843711040868465e-06,0.00015024979598640494,0.0031529984825548717
1300.0,7.142701752592516e-05,2.6841886002830143e-06,2.6936308679959284e-06,-0.0006641405447704909,0.0026724565371724057
