Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,1.2992235168603919e-09,1.0957591983913514e-11,0.0027692755932315176,8.89969655812421e-09,1.1817938369006733e-07,-2.998392447050726e-09
330.0,4.165978011494996e-10,4.226999232803214e-12,0.00257133732368094,6.960135506154977e-09,5.096958450921483e-08,-1.0566625058453536e-09
530.0,3.036955776037397e-10,2.8259545496237515e-12,0.0028504763941007566,1.115754734290498e-08,2.6902644985989326e-08,-5.109680872577555e-10
730.0,2.2476800189608333e-10,2.0833437349818845e-12,0.003101478430149947,1.5477946893196647e-08,1.6814895031045887e-08,-2.8832732796090815e-10
930.0,1.5832782160304746e-10,1.4719344904577143e-12,0.0028838072042745608,1.645776267474018e-08,1.1515358968700458e-08,-1.8752836782561074e-10
1130.0,1.1000807278040626e-10,9.855768302959014e-13,0.0025770169575570524,1.3807247056336241e-08,8.41631884879907e-09,-1.2457558582370889e-10
1330.0,7.498888065276551e-11,6.908785643539877e-13,0.002067258895206775,1.151961595991773e-08,6.455485769903924e-09,-8.545107213694259e-11
1530.0,5.1061227863110385e-11,4.4730577005305995e-13,0.0016741580448613163,7.562988126040909e-09,5.1583788751341656e-09,-5.98370608899339e-11
1730.0,3.446567116968158e-11,3.1469392247109196e-13,0.0012511748332925037,5.5967659247212425e-09,4.218020663262584e-09,-4.2598058863280084e-11
1930.0,2.3471109080009644e-11,2.1679059440656004e-13,0.0009137265046273318,3.762050044482781e-09,3.543819113869654e-09,-2.879780541799452e-11
2130.0,1.6239694158374693e-11,1.4192204702001074e-13,0.0006211583699602617,2.2219094433533296e-09,3.018029605096946e-09,-2.014817214172827e-11
2330.0,1.157470537924329e-11,1.0164832038836358e-13,0.0004256427124590904,1.5209242841559274e-09,2.6133011368206045e-09,-1.2922560201102073e-11
2530.0,8.523189433323773e-12,7.456823757762077e-14,0.0002658876184804233,1.0572121424783197e-09,2.299539254018786e-09,-7.939881203958658e-12
2730.0,6.8695767886735145e-12,5.3215968930093336e-14,0.00017294686492946227,6.894415079459683e-10,2.033512516660308e-09,-4.178940081178629e-12
2930.0,5.989044818982713e-12,4.26576431004589e-14,0.00012904915670229494,5.538652735078423e-10,1.818871877212376e-09,-6.570174763612117e-13
3130.0,5.907205701327811e-12,3.92321941814655e-14,0.00017157101656459765,5.783239034960805e-10,1.6386333511971152e-09,2.658641601550162e-12
3330.0,7.858395501251754e-12,5.973619672599401e-14,0.00044879344216659984,1.6102072155627951e-09,1.4928998041857037e-09,6.8321141421443615e-12
3530.0,1.1637421496612413e-11,9.828993796120184e-14,0.001290303375322188,5.238208357779836e-09,1.3603669581984366e-09,1.1914013149377806e-11
3730.0,1.6530216394005453e-11,1.7867311832647802e-13,0.002788811623663758,2.0596456360566882e-08,1.2461406608441798e-09,1.7060716167377884e-11
3930.0,1.8127157984508097e-11,2.146064351599094e-13,0.0038350767169485797,3.474516787335931e-08,1.1521604823560601e-09,1.7386422046858005e-11
