,ell,CL
0,0,0.0017040445192362038
1,1,0.005288246207997754
2,2,2001.599272406751
3,3,263.94191895842425
4,4,148.5129200261013
5,5,121.57766990811866
6,6,74.58530405749066
7,7,102.75123324177291
8,8,31.920040979520657
9,9,23.69525337159221
10,10,55.29326734842605
11,11,31.863462006630648
12,12,31.323902125150212
13,13,32.00129882916581
14,14,25.77186950357909
15,15,24.47084167512729
16,16,14.003911563235874
17,17,23.376831275729224
18,18,14.095121720276898
19,19,19.743915205785772
20,20,10.678544839176341
21,21,11.711834380181502
22,22,11.57967471138827
23,23,12.869297635459255
24,24,8.572961794173095
25,25,8.970851641431889
26,26,9.22176032222811
27,27,8.271743170246474
28,28,5.314562699462367
29,29,6.593604859283361
30,30,5.499383299269922
31,31,8.116177528757975
32,32,5.985736976982705
33,33,4.725822935136289
34,34,5.6284608926425275
35,35,4.268848818804173
36,36,5.638448738697117
37,37,6.642760138313595
38,38,5.504110147168955
39,39,5.69156849427401
40,40,6.279836393656492
41,41,4.558205658680564
42,42,3.353139644581284
43,43,4.068979531852173
44,44,3.5074584916791776
45,45,3.717526249127233
46,46,3.4299131382400527
47,47,4.149040289359435
48,48,3.6825264902754786
49,49,3.248363330061811
50,50,3.172099266958279
51,51,3.2779848107864864
52,52,3.0015931580020845
53,53,2.276009282029269
54,54,2.9448333715939796
55,55,2.9333484566278045
56,56,3.3067103815985184
57,57,3.1392708360256374
58,58,2.916346086804382
59,59,2.7984537118154638
60,60,2.0939986713713945
61,61,3.0021850909628
62,62,2.5318490728916
63,63,2.868715250675503
64,64,2.8056196245973095
65,65,3.120884509918048
66,66,2.2843812344731704
67,67,2.426508741190134
68,68,2.0454621826743202
69,69,2.1997629458688968
70,70,2.192210402479353
71,71,2.39602301903867
72,72,1.9213060594219513
73,73,2.4792337873804553
74,74,1.9584004572986373
75,75,1.9867395529149732
76,76,2.1890618832451856
77,77,1.875964610607439
78,78,1.9365206107471482
79,79,2.142768658350399
80,80,1.9365800720211004
81,81,1.8142295606473609
82,82,1.8650233903550197
83,83,2.039425145727891
84,84,2.0099597943901255
85,85,2.0791887164966742
86,86,1.7339860484396155
87,87,1.7860063481720583
88,88,1.7077608386548477
89,89,1.8739271567188198
90,90,1.9041829106381554
91,91,1.8239522947951339
92,92,2.160305986623909
93,93,1.654098429149631
94,94,1.6004894539764976
95,95,1.602643115476947
96,96,1.3485996173497636
97,97,1.543925527455429
98,98,1.483356465468681
99,99,1.4327073872069227
100,100,1.5775770903579096
101,101,1.7759549751461383
102,102,1.5843359701458897
103,103,1.603998147156959
104,104,1.7128299624822683
105,105,1.4598539728570255
106,106,1.3543812292360202
107,107,1.782971770108809
108,108,1.5747989872444583
109,109,1.5596038197936204
110,110,1.5599031531790255
111,111,1.305045862720184
112,112,1.3403456881753117
113,113,1.618280026039517
114,114,1.4960174774820185
115,115,1.2935382941882816
116,116,1.45746309979382
117,117,1.5136664092723213
118,118,1.544389250580499
119,119,1.4005718118815975
120,120,1.2625224844841016
121,121,1.6025066553693206
122,122,1.2918551048619686
123,123,1.522322699016368
124,124,1.3600910360774474
125,125,1.2820040873419738
126,126,1.190683888842246
127,127,1.363897282453728
128,128,1.233751578243761
129,129,1.448418608427195
130,130,1.4240186041608092
131,131,1.5031052458279877
132,132,1.3079641460450258
133,133,1.302784395103631
134,134,1.1686230993723423
135,135,1.1791837136797574
136,136,1.183699308129912
137,137,1.2865310787839455
138,138,1.15884437581263
139,139,1.3132218511814382
140,140,1.3002278227390665
141,141,1.4614560743611094
142,142,1.105828682284359
143,143,1.241146272717686
144,144,1.2894964761252792
145,145,1.2964196122005818
146,146,1.172671184136555
147,147,1.1105838718917258
148,148,1.1726453307282807
149,149,1.163107989242327
150,150,1.1179050538015618
151,151,1.1686041260909648
152,152,1.0910040316744674
153,153,1.0663048574213794
154,154,1.1981250865446043
155,155,1.1136373010437117
156,156,1.132516888804206
157,157,1.2257693112583843
158,158,0.9716744876602254
159,159,1.0532050970670268
160,160,1.1267640675249972
161,161,1.207479484062573
162,162,1.0891705259582471
163,163,0.9639772330156492
164,164,1.1166389246440107
165,165,0.9125075658964302
166,166,1.0439470658268062
167,167,0.9225698324595852
168,168,1.0758272314388928
169,169,1.091813608016276
170,170,1.109274811844138
171,171,1.0573292386917101
172,172,1.0854780332828555
173,173,0.9802072460159803
174,174,1.0915372640624628
175,175,0.9942694686858015
176,176,0.953091775420362
177,177,0.918010074561267
178,178,1.0243954296798146
179,179,1.153559718719152
180,180,0.8781548482794215
181,181,1.0921657917373186
182,182,0.9906295155790146
183,183,0.9278285478111399
184,184,0.8487251944021613
185,185,1.097753012619413
186,186,0.8182426906805639
187,187,0.8714811668210152
188,188,0.9683550281765937
189,189,0.8704094227679805
190,190,1.042387982986852
191,191,0.8326241816875425
192,192,0.7806854060849301
193,193,0.8829360600559867
194,194,0.9867453262610446
195,195,0.8462904640113977
196,196,0.9436884351470319
197,197,0.8088492365447179
198,198,0.8400619255262285
199,199,0.933254442757961
200,200,0.9064674007011349
201,201,0.7404482448707939
202,202,0.8419321505882796
203,203,0.7782198216411238
204,204,0.7944527631548465
205,205,0.8066834994286723
206,206,0.8501674363695787
207,207,0.8331566019457293
208,208,0.7404039032509553
209,209,0.7966576696035698
210,210,0.8144552627762348
211,211,0.7711022489043117
212,212,0.7836682534761932
213,213,0.7651935280555978
214,214,0.8030709990697077
215,215,0.7823487600833384
216,216,0.7511826027855825
217,217,0.8255497805665447
218,218,0.7162495312055926
219,219,0.7555828221435218
220,220,0.7167700691334392
